"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","disposition","eventID","evidenceForOccurrenceID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","recordNumber","scientificName","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel"
"","RMNH.AVES.16939","","","","","","","","","","https://doi.org/TEST/ZZW-CGN-L81","","b2c8853996369e793aed49ae7bfe5460","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.16939","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.213553","","","","","","","","","","https://doi.org/TEST/ZZW-5EH-52V","","e6982a32f54ee5cdb3be739a073c543c","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.213553","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.29745","","","","","","","","","","https://doi.org/TEST/ZZW-4JD-BWE","","60770a02320e6a1c2abb553416abae59","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.29745","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.50624","","","","","","","","","","https://doi.org/TEST/ZZV-NXW-97Y","","f12c2b648ff46ce46a580c505aed2880","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50624","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.57315","","","","","","","","","","https://doi.org/TEST/ZZV-LK6-256","","164d2e1571210c8fa0a361ce80d2f95a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57315","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.179103","","","","","","","","","","https://doi.org/TEST/ZZV-DDZ-J71","","bef689f391a6cc67048fd72e51f2e97a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179103","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.59634","","","","","","","","","","https://doi.org/TEST/ZZV-8ZR-B2B","","6d5ee94b1d9b9736dd205ae7bb2964cc","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.59634","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","ZMA.AVES.56257","","","","","","","","","","https://doi.org/TEST/ZZV-2RM-3CL","","c9ffcb0a6757b5e54774f82a73766991","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.56257","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.161316","","","","","","","","","","https://doi.org/TEST/ZZV-274-201","","2335117f0e59703c5dcefb25a770ac76","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161316","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","ZMA.AVES.50950","","","","","","","","","","https://doi.org/TEST/ZZT-X6M-FZH","","5489b00dea715f402fd66956a422785a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50950","","","","","","","","","egg (air dried)","","","","","","","","","","",""
