"ACCESSURI","CREATEDATE","CREATOR","CREATORID","FORMAT","MEDIADESCRIPTION","MEDIAID","MEDIALANGUAGE","MEDIATYPE","MODIFIED","OWNER","RIGHTS","SOURCE","WEBSTATEMENT"
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.2420_2/format/large","","","","image/jpeg","","https://doi.org/TEST/PVQ-CGP-3RN","","StillImage","2025-01-30T13:55:00.488Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1337530_1/format/large","","","","image/jpeg","","https://doi.org/TEST/PSA-AXH-T2D","","StillImage","2025-01-28T08:53:46.517Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.358406_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/PKJ-LDC-4TT","","StillImage","2025-01-28T08:52:34.541Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1342265_1/format/large","","","","image/jpeg","","https://doi.org/TEST/PB4-7TJ-6D2","","StillImage","2025-01-28T08:49:53.904Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.VER.P.10098/format/large","","","","image/jpeg","","https://doi.org/TEST/P0H-GKW-L5S","","StillImage","2025-01-30T09:48:35.691Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1398458_1/format/large","","","","image/jpeg","","https://doi.org/TEST/NPV-PAY-HA7","","StillImage","2025-01-28T08:53:39.502Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5169908_2/format/large","","","","image/jpeg","","https://doi.org/TEST/N7N-YLE-06E","","StillImage","2025-01-28T08:51:29.478Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.347104_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/N4K-E74-7GB","","StillImage","2025-01-28T08:50:33.352Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.306707_2/format/large","","","","image/jpeg","","https://doi.org/TEST/N2E-VB2-JM5","","StillImage","2025-01-28T08:57:29.174Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.VER.206888/format/large","","","","image/jpeg","","https://doi.org/TEST/N1F-CQ1-N3D","","StillImage","2025-01-30T09:49:20.790Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5161905_2/format/large","","","","image/jpeg","","https://doi.org/TEST/N0T-AH5-K0M","","StillImage","2025-01-28T08:58:09.080Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1177147_1/format/large","","","","image/jpeg","","https://doi.org/TEST/MQ4-4NS-7YF","","StillImage","2025-01-28T08:55:59.300Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.347104_1/format/large","","","","image/jpeg","","https://doi.org/TEST/M5Y-AXZ-BVA","","StillImage","2025-01-28T08:50:33.352Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.6136_2/format/large","","","","image/jpeg","","https://doi.org/TEST/LZD-FA1-ZVT","","StillImage","2025-01-30T13:59:29.488Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.1715/format/large","","","","image/jpeg","","https://doi.org/TEST/LVB-A1F-WVF","","StillImage","2025-01-30T13:59:33.238Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1048647_1/format/large","","","","image/jpeg","","https://doi.org/TEST/LT8-4YH-5P4","","StillImage","2025-01-28T08:52:47.752Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1346620_1/format/large","","","","image/jpeg","","https://doi.org/TEST/LM3-6H0-DSM","","StillImage","2025-01-28T08:51:24.964Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1280722_1/format/large","","","","image/jpeg","","https://doi.org/TEST/LJC-DPS-331","","StillImage","2025-01-28T08:49:56.802Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5152965_1/format/large","","","","image/jpeg","","https://doi.org/TEST/L20-XGM-59W","","StillImage","2025-01-28T08:54:12.318Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.383823_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/KPR-4G3-81P","","StillImage","2025-01-28T08:52:42.588Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1183100_1/format/large","","","","image/jpeg","","https://doi.org/TEST/KHA-QGW-KQF","","StillImage","2025-01-28T08:52:40.822Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
