"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","dataGeneralizations","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","informationWithheld","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1925-05-10","","164d2e1571210c8fa0a361ce80d2f95a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Siberië, Tomsk","","","","","10-05-1925","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1903-02-21","","bef689f391a6cc67048fd72e51f2e97a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","21/2/1903","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1846-08-06","","c9ffcb0a6757b5e54774f82a73766991","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Woubrugge, Wijde Aa lake","","","","","","","","","","","","","","","","South Holland","","","","","6-8-1846","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1916-06-01","","2335117f0e59703c5dcefb25a770ac76","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Bengkulen (hoofdplaats)","","","","","","","","","","","","","","","","","","","","","01-06-1916","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","5489b00dea715f402fd66956a422785a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","sine loco [Nederland]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","United States","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","2017-01-04","","8c141aa77eef94f51572a62845d749aa","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Travis County","","","","","","","","","","","","","","","","Texas","","","","","4 January 2017","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1894-05-15","","4a31aec39d8d970dd17decf3f2fb3ba1","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Nanga Raoen","","","","","","","","","","","","","","","","","","","","","15-05-1894","","","","","","",""
"","","","South Africa","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1992-08-22","","a206b38316eba2ef8811a0e2d47146e0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Tugela River, near Weenen","","","","","","","","","","","","","","","","Natal","","","","","22-08-1992","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1937-05-15","","52c0fe46152b2ba69bd4a9867d64480f","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Belitung","","Ajer [Air] Kundur","","","","","","","","","","","","","","","","","","","","","15-5-1937","","","","","","",""
"","","","Brazil","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","68d47cd9e710271d9ff116f551cc64f6","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St. Catharina","","","","","","","","","","","",""
