"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","90f5b5bcb0f2ae7fbf6a786736cea96f","Pipile jacutinga (Spix, 1825)","https://www.catalogueoflife.org/data/taxon/6VKNP","SPECIES","",""
"Animalia","dwc:kingdom","2e35cfcdf55695ceb92b60416e854848","Colibri delphinae (R. Lesson, 1839)","https://www.catalogueoflife.org/data/taxon/X2H6","SPECIES","",""
"Animalia","dwc:kingdom","61cad98769ef4a12ebfb5f548e1f9db5","Empidonax minimus (W. M. Baird & S. F. Baird, 1843)","https://www.catalogueoflife.org/data/taxon/39HWK","SPECIES","",""
"Animalia","dwc:kingdom","56240e460ae865e6cbf8dc8c1ba8808b","Larus hyperboreus Gunnerus, 1767","https://www.catalogueoflife.org/data/taxon/3SBQG","SPECIES","",""
"Animalia","dwc:kingdom","fea53bf7f209f060863ea474f061abf9","Spinus tristis tristis (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BP375","SUBSPECIES","",""
"Animalia","dwc:kingdom","83f9f7d06bb2374e20867ef0fdaf5401","Sporophila americana americana (J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/BP38M","SUBSPECIES","",""
"Animalia","dwc:kingdom","b47657d070fc2debfaa7f6bf74a0ab63","Larus dominicanus M. H. K. Lichtenstein, 1823","https://www.catalogueoflife.org/data/taxon/3SBQ5","SPECIES","",""
"Animalia","dwc:kingdom","fadeca56e7d63dd11522618628c6925e","Platylophus galericulatus ardesiacus (Bonaparte, 1850)","https://www.catalogueoflife.org/data/taxon/BNW4G","SUBSPECIES","",""
"Animalia","dwc:kingdom","e39e65d33427dbfa56fa275c328f0b4d","Prinia buchanani Blyth, 1844","https://www.catalogueoflife.org/data/taxon/4MDWB","SPECIES","",""
"Animalia","dwc:kingdom","37cc3b226404dbcfa2f5c810ef0f5fcb","Cisticola juncidis juncidis (Rafinesque, 1810)","https://www.catalogueoflife.org/data/taxon/BN7S3","SUBSPECIES","",""
"Animalia","dwc:kingdom","e4cd5163e2c9ad46b89ff5b5739cb809","Leptasthenura aegithaloides aegithaloides (Kittlitz, 1830)","https://www.catalogueoflife.org/data/taxon/BNL8P","SUBSPECIES","",""
"Animalia","dwc:kingdom","eb0919c70f0664af10e0031bc2a6fa3e","Anthreptes malacensis malacensis (Scopoli, 1786)","https://www.catalogueoflife.org/data/taxon/BMZTY","SUBSPECIES","",""
"Animalia","dwc:kingdom","2204c51389d4e4ed2f7cf1f0d6b65e85","Pipra erythrocephala erythrocephala (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/5KGHX","SUBSPECIES","",""
"Animalia","dwc:kingdom","cd33e9822fefde34ef8d8fd048431514","Cuculus canorus canorus Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/BN9V9","SUBSPECIES","",""
"Animalia","dwc:kingdom","39b20106b384b1e7ececad09a39b37c5","Stilpnia larvata larvata (Du Bus de Gisignies, 1846)","https://www.catalogueoflife.org/data/taxon/B77Z2","SUBSPECIES","",""
"Animalia","dwc:kingdom","b5010a865bb04988435d5084aa8f1979","Arenaria interpres (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/67RLB","SPECIES","",""
"Animalia","dwc:kingdom","19ba1ce2122d881a82b332d76c884ac1","Hylocichla mustelina (Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/3NFZ4","SPECIES","",""
"Animalia","dwc:kingdom","40884dc14e2c2d957b2bbb2ece750538","Tringa totanus robusta (Schiøler, 1919)","https://www.catalogueoflife.org/data/taxon/BP5XH","SUBSPECIES","",""
"Animalia","dwc:kingdom","271f7ee2f7256b2d8df0748e616ef351","Ptilinopus viridis viridis (Linnaeus, 1766)","https://www.catalogueoflife.org/data/taxon/BNXZ2","SUBSPECIES","",""
