"MATERIALENTITYID","MEDIAID","MEDIASUBJECTCATEGORY","MEDIASUBJECTCATEGORYIRI","MEDIASUBJECTCATEGORYVOCABULARY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.38413","https://doi.org/TEST/KM7-2JJ-9XJ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.38413","https://doi.org/TEST/8BA-CTF-LGC","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.P.2133","https://doi.org/TEST/VMH-10D-7Q2","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.123823","https://doi.org/TEST/5V0-92W-FRT","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.123823","https://doi.org/TEST/MYR-0Y4-Q9Z","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134053","https://doi.org/TEST/MTE-676-XW0","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134053","https://doi.org/TEST/MHZ-B4L-HTH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259161","https://doi.org/TEST/4CZ-06N-TFM","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259161","https://doi.org/TEST/YQF-453-AL2","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57509","https://doi.org/TEST/LFM-YK1-7CV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57509","https://doi.org/TEST/G3X-R4Q-AKH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86611","https://doi.org/TEST/E9Y-XAS-XBP","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86611","https://doi.org/TEST/NDJ-B0Z-NBQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121703","https://doi.org/TEST/BA8-9X8-FDC","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121703","https://doi.org/TEST/QT5-JK2-QCY","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/H1X-9YJ-ZRN","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/4HD-67P-ZWT","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/JH3-C68-DPC","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/7ZD-7Z4-2B1","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/HXP-QMX-JL0","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/FR8-73L-E2T","","",""
