"IDENTIFIER","IDENTIFIERLANGUAGE","IDENTIFIERTYPE","IDENTIFIERTYPEIRI","IDENTIFIERTYPEVOCABULARY","MATERIALENTITYID"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.969851","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-G3G-36T"
"ZMA.INS.969851@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-G3G-36T"
"ZMA.INS.969851","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-G3G-36T"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1541967","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-EX4-ZHS"
"ZMA.INS.1541967@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-EX4-ZHS"
"ZMA.INS.1541967","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-EX4-ZHS"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1127187","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-EAV-G4S"
"ZMA.INS.1127187@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-EAV-G4S"
"ZMA.INS.1127187","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-EAV-G4S"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1671562","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-DPK-537"
"RMNH.INS.1671562@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-DPK-537"
"RMNH.INS.1671562","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-DPK-537"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.963072","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-DAW-FNY"
"ZMA.INS.963072@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-DAW-FNY"
"ZMA.INS.963072","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-DAW-FNY"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.993985","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-D91-P2W"
"ZMA.INS.993985@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-D91-P2W"
"ZMA.INS.993985","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-D91-P2W"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.696440","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-CR9-W1R"
"RMNH.INS.696440@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-CR9-W1R"
"RMNH.INS.696440","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-CR9-W1R"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.13330","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-CNK-8F1"
"RMNH.CRUS.D.13330@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-CNK-8F1"
"RMNH.CRUS.D.13330","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-CNK-8F1"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1355907","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-B80-APS"
"ZMA.INS.1355907@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-B80-APS"
"ZMA.INS.1355907","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-B80-APS"
