"IDENTIFIER","IDENTIFIERLANGUAGE","IDENTIFIERTYPE","IDENTIFIERTYPEIRI","IDENTIFIERTYPEVOCABULARY","MATERIALENTITYID"
"ZMA.CRUS.D.240393@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-N38-6L4"
"ZMA.CRUS.D.240393","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-N38-6L4"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1128846","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-MYM-F6H"
"ZMA.INS.1128846@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-MYM-F6H"
"ZMA.INS.1128846","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-MYM-F6H"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1124862","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-MNT-R1E"
"ZMA.INS.1124862@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-MNT-R1E"
"ZMA.INS.1124862","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-MNT-R1E"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1354410","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-K6F-DM2"
"RMNH.INS.1354410@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-K6F-DM2"
"RMNH.INS.1354410","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-K6F-DM2"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1206292","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-EGG-XF5"
"RMNH.INS.1206292@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-EGG-XF5"
"RMNH.INS.1206292","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-EGG-XF5"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1110812","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-CN9-VW1"
"ZMA.INS.1110812@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-CN9-VW1"
"ZMA.INS.1110812","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-CN9-VW1"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1098355","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-B9D-ZEB"
"ZMA.INS.1098355@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-B9D-ZEB"
"ZMA.INS.1098355","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-B9D-ZEB"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1345559","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-8RE-9J6"
"RMNH.INS.1345559@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-8RE-9J6"
"RMNH.INS.1345559","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-8RE-9J6"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.A.3146","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-8NB-QHD"
"RMNH.CRUS.A.3146@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-8NB-QHD"
"RMNH.CRUS.A.3146","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-8NB-QHD"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5168160","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-8N1-CAK"
"ZMA.INS.5168160@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-8N1-CAK"
"ZMA.INS.5168160","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-8N1-CAK"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1326840","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-8GB-B8R"
"ZMA.INS.1326840@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-8GB-B8R"
"ZMA.INS.1326840","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-8GB-B8R"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1419795","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-7WP-ZMH"
"RMNH.INS.1419795@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-7WP-ZMH"
"RMNH.INS.1419795","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-7WP-ZMH"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.315754","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-7TE-L66"
"RMNH.INS.315754@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-7TE-L66"
"RMNH.INS.315754","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-7TE-L66"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.39963","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-7PM-S7X"
"RMNH.CRUS.D.39963@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-7PM-S7X"
"RMNH.CRUS.D.39963","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-7PM-S7X"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1025670","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-6PM-FNZ"
"ZMA.INS.1025670@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-6PM-FNZ"
"ZMA.INS.1025670","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-6PM-FNZ"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.25635","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-5DT-3YX"
"RMNH.CRUS.D.25635@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-5DT-3YX"
"RMNH.CRUS.D.25635","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-5DT-3YX"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1003089","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-3SZ-Z2J"
"ZMA.INS.1003089@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-3SZ-Z2J"
"ZMA.INS.1003089","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-3SZ-Z2J"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1000504","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-3Q7-DT3"
"RMNH.INS.1000504@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-3Q7-DT3"
"RMNH.INS.1000504","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-3Q7-DT3"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.38987","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-38R-E2M"
"RMNH.CRUS.D.38987@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-38R-E2M"
"RMNH.CRUS.D.38987","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-38R-E2M"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1353569","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-2VX-CQ3"
"ZMA.INS.1353569@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-2VX-CQ3"
"ZMA.INS.1353569","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-2VX-CQ3"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.653971","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-2J1-6BF"
"RMNH.INS.653971@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-2J1-6BF"
"RMNH.INS.653971","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-2J1-6BF"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1285509","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-1VZ-MRR"
"ZMA.INS.1285509@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-1VZ-MRR"
"ZMA.INS.1285509","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-1VZ-MRR"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1335091","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-1HE-XJ2"
"ZMA.INS.1335091@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-1HE-XJ2"
"ZMA.INS.1335091","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-1HE-XJ2"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.6136","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-1EZ-SST"
"RMNH.CRUS.6136@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-1EZ-SST"
"RMNH.CRUS.6136","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-1EZ-SST"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.42566","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-Y4M-2VY"
"RMNH.CRUS.D.42566@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-Y4M-2VY"
"RMNH.CRUS.D.42566","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-Y4M-2VY"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5195849","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-W5H-S4E"
"ZMA.INS.5195849@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-W5H-S4E"
"ZMA.INS.5195849","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-W5H-S4E"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1548394","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-VAJ-ASS"
"ZMA.INS.1548394@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-VAJ-ASS"
"ZMA.INS.1548394","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-VAJ-ASS"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1129812","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-QVC-PP1"
"ZMA.INS.1129812@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-QVC-PP1"
"ZMA.INS.1129812","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-QVC-PP1"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1156998","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-PMT-9BG"
"RMNH.INS.1156998@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-PMT-9BG"
"RMNH.INS.1156998","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-PMT-9BG"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5161905","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-NHQ-7Y2"
"ZMA.INS.5161905@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-NHQ-7Y2"
"ZMA.INS.5161905","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-NHQ-7Y2"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1048647","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-LP3-E9C"
"RMNH.INS.1048647@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-LP3-E9C"
"RMNH.INS.1048647","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-LP3-E9C"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.961974","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-L92-4LE"
"ZMA.INS.961974@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-L92-4LE"
"ZMA.INS.961974","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-L92-4LE"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.I.3190","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-L6Y-9J2"
"RMNH.CRUS.I.3190@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-L6Y-9J2"
"RMNH.CRUS.I.3190","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-L6Y-9J2"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.P.2280","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-KK5-L7R"
"ZMA.CRUS.P.2280@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-KK5-L7R"
"ZMA.CRUS.P.2280","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-KK5-L7R"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1215121","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-H24-HLY"
"ZMA.INS.1215121@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-H24-HLY"
"ZMA.INS.1215121","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-H24-HLY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.353293","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-GFY-W12"
"RMNH.INS.353293@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-GFY-W12"
"RMNH.INS.353293","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-GFY-W12"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.A.205775","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-DE0-JE0"
"ZMA.CRUS.A.205775@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-DE0-JE0"
"ZMA.CRUS.A.205775","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-DE0-JE0"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5194844","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-D44-4BS"
"ZMA.INS.5194844@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-D44-4BS"
"ZMA.INS.5194844","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-D44-4BS"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5164015","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-AB8-C8A"
"ZMA.INS.5164015@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-AB8-C8A"
"ZMA.INS.5164015","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-AB8-C8A"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.315738","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-8ZF-AV9"
"RMNH.INS.315738@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-8ZF-AV9"
"RMNH.INS.315738","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-8ZF-AV9"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.613529","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-8C5-K9Z"
"ZMA.INS.613529@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-8C5-K9Z"
"ZMA.INS.613529","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-8C5-K9Z"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1160851","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-6R8-5YN"
"RMNH.INS.1160851@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-6R8-5YN"
"RMNH.INS.1160851","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-6R8-5YN"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.1715","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-5LW-3XF"
"RMNH.CRUS.D.1715@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-5LW-3XF"
"RMNH.CRUS.D.1715","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-5LW-3XF"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.615515","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-48X-PK8"
"ZMA.INS.615515@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-48X-PK8"
"ZMA.INS.615515","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-48X-PK8"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1180112","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-3FH-A6N"
"ZMA.INS.1180112@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-3FH-A6N"
"ZMA.INS.1180112","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-3FH-A6N"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1140071","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-1YG-B05"
"ZMA.INS.1140071@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-1YG-B05"
"ZMA.INS.1140071","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-1YG-B05"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1545548","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-1XH-CBK"
"ZMA.INS.1545548@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-1XH-CBK"
"ZMA.INS.1545548","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-1XH-CBK"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.57406","","dwc:occurrenceID","","","https://doi.org/TEST/ZZV-1L0-TGW"
"RMNH.CRUS.D.57406@CRS","","dwca:ID","","","https://doi.org/TEST/ZZV-1L0-TGW"
"RMNH.CRUS.D.57406","","dwc:catalogNumber","","","https://doi.org/TEST/ZZV-1L0-TGW"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.V.PL.1455.2","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-ZG9-D7J"
"ZMA.V.PL.1455.2@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-ZG9-D7J"
"ZMA.V.PL.1455.2","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-ZG9-D7J"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1544042","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-YVY-YL5"
"ZMA.INS.1544042@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-YVY-YL5"
"ZMA.INS.1544042","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-YVY-YL5"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.309968","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-T86-1SE"
"RMNH.INS.309968@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-T86-1SE"
"RMNH.INS.309968","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-T86-1SE"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.9383","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-SS9-DXX"
"RMNH.CRUS.9383@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-SS9-DXX"
"RMNH.CRUS.9383","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-SS9-DXX"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.E.1929","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-S7P-J9V"
"RMNH.CRUS.E.1929@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-S7P-J9V"
"RMNH.CRUS.E.1929","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-S7P-J9V"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1043159","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-R1Z-VYB"
"RMNH.INS.1043159@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-R1Z-VYB"
"RMNH.INS.1043159","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-R1Z-VYB"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1099196","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-QRC-A5Z"
"ZMA.INS.1099196@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-QRC-A5Z"
"ZMA.INS.1099196","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-QRC-A5Z"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.329264","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-MGN-ZFJ"
"RMNH.INS.329264@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-MGN-ZFJ"
"RMNH.INS.329264","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-MGN-ZFJ"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1168948","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-MBT-NNQ"
"ZMA.INS.1168948@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-MBT-NNQ"
"ZMA.INS.1168948","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-MBT-NNQ"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.30431","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-LKW-SDY"
"RMNH.CRUS.D.30431@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-LKW-SDY"
"RMNH.CRUS.D.30431","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-LKW-SDY"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.931680","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-HZV-QBE"
"ZMA.INS.931680@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-HZV-QBE"
"ZMA.INS.931680","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-HZV-QBE"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1352234","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-HKZ-ERD"
"RMNH.INS.1352234@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-HKZ-ERD"
"RMNH.INS.1352234","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-HKZ-ERD"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.981731","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-HEZ-JRM"
"ZMA.INS.981731@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-HEZ-JRM"
"ZMA.INS.981731","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-HEZ-JRM"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.890504","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-G57-TJH"
"RMNH.INS.890504@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-G57-TJH"
"RMNH.INS.890504","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-G57-TJH"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.A.108451","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-FK0-4N4"
"ZMA.CRUS.A.108451@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-FK0-4N4"
"ZMA.CRUS.A.108451","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-FK0-4N4"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1009614","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-FDH-VGF"
"ZMA.INS.1009614@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-FDH-VGF"
"ZMA.INS.1009614","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-FDH-VGF"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1166929","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-BLD-738"
"RMNH.INS.1166929@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-BLD-738"
"RMNH.INS.1166929","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-BLD-738"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.994618","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-AV2-BZD"
"RMNH.INS.994618@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-AV2-BZD"
"RMNH.INS.994618","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-AV2-BZD"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.358406","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-AMG-ZWF"
"RMNH.INS.358406@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-AMG-ZWF"
"RMNH.INS.358406","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-AMG-ZWF"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1057366","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-A1L-97L"
"ZMA.INS.1057366@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-A1L-97L"
"ZMA.INS.1057366","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-A1L-97L"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1398412","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-806-WC6"
"ZMA.INS.1398412@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-806-WC6"
"ZMA.INS.1398412","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-806-WC6"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1345707","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-4V6-4DN"
"ZMA.INS.1345707@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-4V6-4DN"
"ZMA.INS.1345707","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-4V6-4DN"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1561054","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-27E-8E6"
"ZMA.INS.1561054@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-27E-8E6"
"ZMA.INS.1561054","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-27E-8E6"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.651520","","dwc:occurrenceID","","","https://doi.org/TEST/ZZT-0HY-QZB"
"RMNH.INS.651520@CRS","","dwca:ID","","","https://doi.org/TEST/ZZT-0HY-QZB"
"RMNH.INS.651520","","dwc:catalogNumber","","","https://doi.org/TEST/ZZT-0HY-QZB"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1341574","","dwc:occurrenceID","","","https://doi.org/TEST/ZZS-XGP-4NY"
"RMNH.INS.1341574@CRS","","dwca:ID","","","https://doi.org/TEST/ZZS-XGP-4NY"
"RMNH.INS.1341574","","dwc:catalogNumber","","","https://doi.org/TEST/ZZS-XGP-4NY"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.958153","","dwc:occurrenceID","","","https://doi.org/TEST/ZZS-VEX-7CN"
"ZMA.INS.958153@CRS","","dwca:ID","","","https://doi.org/TEST/ZZS-VEX-7CN"
"ZMA.INS.958153","","dwc:catalogNumber","","","https://doi.org/TEST/ZZS-VEX-7CN"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5176039","","dwc:occurrenceID","","","https://doi.org/TEST/ZZS-NVA-M8N"
"ZMA.INS.5176039@CRS","","dwca:ID","","","https://doi.org/TEST/ZZS-NVA-M8N"
"ZMA.INS.5176039","","dwc:catalogNumber","","","https://doi.org/TEST/ZZS-NVA-M8N"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.V.POL.3666","","dwc:occurrenceID","","","https://doi.org/TEST/ZZS-NJQ-1G3"
"ZMA.V.POL.3666@CRS","","dwca:ID","","","https://doi.org/TEST/ZZS-NJQ-1G3"
"ZMA.V.POL.3666","","dwc:catalogNumber","","","https://doi.org/TEST/ZZS-NJQ-1G3"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.VER.P.8174","","dwc:occurrenceID","","","https://doi.org/TEST/ZZS-JG3-5TE"
"RMNH.VER.P.8174@CRS","","dwca:ID","","","https://doi.org/TEST/ZZS-JG3-5TE"
"RMNH.VER.P.8174","","dwc:catalogNumber","","","https://doi.org/TEST/ZZS-JG3-5TE"
