"basedOnMaterialEntityID","basedOnMediaID","basedOnNucleotideAnalysisID","basedOnNucleotideSequenceID","basedOnOccurrenceID","dateIdentified","higherClassificationName","higherClassificationRank","identificationID","identificationReferences","identificationRemarks","identificationType","identificationVerificationStatus","identifiedBy","identifiedByID","isAcceptedIdentification","scientificName","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.171448","","","","","","","","e39e65d33427dbfa56fa275c328f0b4d","","","MaterialEntity","","","","true","","","","","","","","","Prinia buchanani Blyth, 1844"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.41941","","","","","","","","37cc3b226404dbcfa2f5c810ef0f5fcb","","","MaterialEntity","","","","true","","","","","","","","","Cisticola juncidis juncidis Rafinesque, 1810"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.120368","","","","","","","","e4cd5163e2c9ad46b89ff5b5739cb809","","","MaterialEntity","","","","true","","","","","","","","","Leptasthenura aegithaloides aegithaloides (Kittlitz, 1830)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132918","","","","","","","","eb0919c70f0664af10e0031bc2a6fa3e","","","MaterialEntity","","","","true","","","","","","","","","Anthreptes malacensis malacensis (Scopoli, 1786)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.172987","","","","","","","","2204c51389d4e4ed2f7cf1f0d6b65e85","","","MaterialEntity","","","","true","","","","","","","","","Pipra erythrocephala erythrocephala Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78474","","","","","","","","cd33e9822fefde34ef8d8fd048431514","","","MaterialEntity","","","","true","","","","","","","","","Cuculus canorus canorus Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.57443","","","","","","","","39b20106b384b1e7ececad09a39b37c5","","","MaterialEntity","","","","true","","","","","","","","","Tangara larvata larvata Du Bus de Gisignies, 1846"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.220138","","","","","","","","b5010a865bb04988435d5084aa8f1979","","","MaterialEntity","","","","true","","","","","","","","","Arenaria interpres (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.12672","","","","","","","","19ba1ce2122d881a82b332d76c884ac1","","","MaterialEntity","","","","true","","","","","","","","","Hylocichla mustelina Gmelin, J.F., 1789"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.30393","","","","","","","","40884dc14e2c2d957b2bbb2ece750538","","","MaterialEntity","","","","true","","","","","","","","","Tringa totanus robusta Schiøler, 1919"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.15160","","","","","","","","271f7ee2f7256b2d8df0748e616ef351","","","MaterialEntity","","","","true","","","","","","","","","Ptilinopus viridis viridis (Linnaeus)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.210848","","","","","","","","c68362689645a609c1ed95b4586ea238","","","MaterialEntity","","","","true","","","","","","","","","Tanygnathus megalorynchos megalorynchos (Boddaert)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.202476","","","","","","","","0a6675d609663f396b6cee865cf9195f","","","MaterialEntity","","","","true","","","","","","","","","Pelargopsis capensis simalurensis Richmond"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.223763","","","","","","","","a0e42c6f22b51894f2759fdf3df8fe1f","","","MaterialEntity","","","","true","","","","","","","","","Belonopteris chilensis chilensis (Molina, 1782)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.232675","","","","","","","","acfb72277ba32b130021fb255e919ce4","","","MaterialEntity","","","","true","","","","","","","","","Mergus serrator Linnaeus"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11449","","","","","","","","fe39942136994aa477a58403a1867046","","","MaterialEntity","","","","true","","","","","","","","","Aythya marila marila Linnaeus, 1761"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146776","","","","","","","","fa601a23152ba978625489d787f1fbe2","","","MaterialEntity","","","","true","","","","","","","","","Turdus plumbeus rubripes Temminck, 1826"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.170652","","","","","","","","e4bf85d6dabc0970617ca3ff47faaa0e","","","MaterialEntity","","","","true","","","","","","","","","Pachycephala macrorhyncha macrorhyncha Strickland, 1849"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.224338","","","","","","","","30e6376a9b6d1bd2786489fcb75ab61f","","","MaterialEntity","","","","true","","","","","","","","","Eudromias morinellus (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.47607","","","","","","","","6cf2198bac2fdc7c4f6939b82bc25d25","","","MaterialEntity","","","","true","","","","","","","","","Harpactes reinwardtii reinwardtii (Temminck, 1822)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.54107","","","","","","","","2662832e943a88ef27f8601b6f8a36f6","","","MaterialEntity","","","","true","","","","","","","","","pluvialis squatarola squatarola Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.9141","","","","","","","","a5535c073a4b8af6fb5bf5d79e7b3f32","","","MaterialEntity","","","","true","","","","","","","","","Ciconia ciconia ciconia (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.17937","","","","","","","","6e088383af3075371da9451adc8dc0d6","","","MaterialEntity","","","","true","","","","","","","","","Numenius arquata arquata (Linnaeus, 1758)"
