agent_id	identification_id	agent_role	agent_role_iri	agent_role_vocabulary	agent_role_order	agent_role_date
AVdP_specimen_identifier	AAV3FF_00065_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00066_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00067_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00068_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00069_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00070_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00071_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00072_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00073_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00074_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00075_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00076_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00077_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00078_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00079_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00080_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00081_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00082_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00083_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00084_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00085_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00086_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00087_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00088_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00089_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00090_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00091_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00092_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00093_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00094_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00095_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00096_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00097_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00098_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00099_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00100_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00101_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00102_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00103_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00104_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00105_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00106_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00107_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00108_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00109_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00110_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00111_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00112_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00113_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00114_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00115_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00116_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00117_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00118_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00119_ID	specimen identifier			1	
