eventID	assertionID	assertionType	assertionTypeIRI	assertionValue	assertionValueIRI	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionProtocols	assertionProtocolID
BROKE_WEST_RMT_015_RMT8	BROKE_WEST_RMT_015_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			15164.44	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_016_RMT8	BROKE_WEST_RMT_016_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			16115.1	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_017_RMT8	BROKE_WEST_RMT_017_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			30320.42	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_018_RMT8	BROKE_WEST_RMT_018_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			44665.95	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_019_RMT8	BROKE_WEST_RMT_019_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			37855.9	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_020_RMT8	BROKE_WEST_RMT_020_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			40775.86	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_021_RMT8	BROKE_WEST_RMT_021_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			19900.69	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_022_RMT8	BROKE_WEST_RMT_022_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			26567.05	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_023_RMT8	BROKE_WEST_RMT_023_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			9403.45	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_024_RMT8	BROKE_WEST_RMT_024_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11893.21	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_025_RMT8	BROKE_WEST_RMT_025_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10259.38	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_026_RMT8	BROKE_WEST_RMT_026_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10888.25	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_027_RMT8	BROKE_WEST_RMT_027_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11008.43	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_028_RMT8	BROKE_WEST_RMT_028_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12154.47	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_029_RMT8	BROKE_WEST_RMT_029_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			15127.55	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_030_RMT8	BROKE_WEST_RMT_030_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11607.57	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_031_RMT8	BROKE_WEST_RMT_031_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			50949.14	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_032_RMT8	BROKE_WEST_RMT_032_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10107.09	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_033_RMT8	BROKE_WEST_RMT_033_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7653.04	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_034_RMT8	BROKE_WEST_RMT_034_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			40163.65	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_035_RMT8	BROKE_WEST_RMT_035_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12579.44	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_036_RMT8	BROKE_WEST_RMT_036_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10392.73	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_037_RMT8	BROKE_WEST_RMT_037_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			56750.76	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_038_RMT8	BROKE_WEST_RMT_038_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			43928.34	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_039_RMT8	BROKE_WEST_RMT_039_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			45591.67	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_040_RMT8	BROKE_WEST_RMT_040_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10517.27	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_041_RMT8	BROKE_WEST_RMT_041_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12531.54	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_042_RMT8	BROKE_WEST_RMT_042_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			58034.39	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_043_RMT8	BROKE_WEST_RMT_043_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			66373.66	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_044_RMT8	BROKE_WEST_RMT_044_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			32714.39	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_045_RMT8	BROKE_WEST_RMT_045_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10853.41	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_046_RMT8	BROKE_WEST_RMT_046_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10588.67	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_047_RMT8	BROKE_WEST_RMT_047_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7438.81	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_048_RMT8	BROKE_WEST_RMT_048_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			22245.02	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_049_RMT8	BROKE_WEST_RMT_049_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10329.16	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_050_RMT8	BROKE_WEST_RMT_050_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			34282.79	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_051_RMT8	BROKE_WEST_RMT_051_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			49199.6	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_052_RMT8	BROKE_WEST_RMT_052_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			59823.99	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_053_RMT8	BROKE_WEST_RMT_053_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			48158.94	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_054_RMT8	BROKE_WEST_RMT_054_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			35675.29	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_055_RMT8	BROKE_WEST_RMT_055_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			69237.02	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_056_RMT8	BROKE_WEST_RMT_056_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			10410.15	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_057_RMT8	BROKE_WEST_RMT_057_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			16426.86	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_058_RMT8	BROKE_WEST_RMT_058_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12632.56	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_059_RMT8	BROKE_WEST_RMT_059_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			35720.57	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_060_RMT8	BROKE_WEST_RMT_060_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7568.56	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_061_RMT8	BROKE_WEST_RMT_061_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			39668.14	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_062_RMT8	BROKE_WEST_RMT_062_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			13660.17	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_063_RMT8	BROKE_WEST_RMT_063_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			9452.21	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_064_RMT8	BROKE_WEST_RMT_064_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7959.58	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_065_RMT8	BROKE_WEST_RMT_065_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7942.16	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_066_RMT8	BROKE_WEST_RMT_066_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			37069.52	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_067_RMT8	BROKE_WEST_RMT_067_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12324.28	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_068_RMT8	BROKE_WEST_RMT_068_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			22824.13	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_069_RMT8	BROKE_WEST_RMT_069_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			43797.71	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_070_RMT8	BROKE_WEST_RMT_070_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			18387.15	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_071_RMT8	BROKE_WEST_RMT_071_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			18833.02	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_072_RMT8	BROKE_WEST_RMT_072_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			35172.8	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_073_RMT8	BROKE_WEST_RMT_073_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			20588.66	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_074_RMT8	BROKE_WEST_RMT_074_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11891.47	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_075_RMT8	BROKE_WEST_RMT_075_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			5412.34	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_076_RMT8	BROKE_WEST_RMT_076_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			6702.07	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_077_RMT8	BROKE_WEST_RMT_077_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			35218.09	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_078_RMT8	BROKE_WEST_RMT_078_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			8000.51	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_079_RMT8	BROKE_WEST_RMT_079_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			37910.76	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_080_RMT8	BROKE_WEST_RMT_080_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			45792.83	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_081_RMT8	BROKE_WEST_RMT_081_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			72252.78	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_082_RMT8	BROKE_WEST_RMT_082_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			1286.24	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_083_RMT8	BROKE_WEST_RMT_083_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			12332.99	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_084_RMT8	BROKE_WEST_RMT_084_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			19638.56	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_085_RMT8	BROKE_WEST_RMT_085_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			22995.69	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_086_RMT8	BROKE_WEST_RMT_086_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			24538.22	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_087_RMT8	BROKE_WEST_RMT_087_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			36060.2	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_088_RMT8	BROKE_WEST_RMT_088_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			8939.28	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_089_RMT8	BROKE_WEST_RMT_089_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			18024.87	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_091_RMT8	BROKE_WEST_RMT_091_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			9366	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_092_RMT8	BROKE_WEST_RMT_092_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11500.46	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_093_RMT8	BROKE_WEST_RMT_093_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			36517.4	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_094_RMT8	BROKE_WEST_RMT_094_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			16603.64	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_095_RMT8	BROKE_WEST_RMT_095_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			15292.14	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_096_RMT8	BROKE_WEST_RMT_096_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			18918.37	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_097_RMT8	BROKE_WEST_RMT_097_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			44757.39	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_098_RMT8	BROKE_WEST_RMT_098_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			48567.37	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_099_RMT8	BROKE_WEST_RMT_099_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			9454.83	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_100_RMT8	BROKE_WEST_RMT_100_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			15188.51	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_101_RMT8	BROKE_WEST_RMT_101_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			49004.53	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_102_RMT8	BROKE_WEST_RMT_102_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			31496.07	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_103_RMT8	BROKE_WEST_RMT_103_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			11298.42	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_104_RMT8	BROKE_WEST_RMT_104_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			37440.5	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_105_RMT8	BROKE_WEST_RMT_105_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			43664.47	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
