occurrenceID	eventID	surveyTargetID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_024_RMT8_BROKE_WEST_RMT_024_RMT8_234566	BROKE_WEST_RMT_024_RMT8	BROKE_WEST_RMT_024_RMT8_234566	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Trematomus sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234566	Animalia	Trematomus	Genus
BROKE_WEST_RMT_032_RMT8_BROKE_WEST_RMT_032_RMT8_217697	BROKE_WEST_RMT_032_RMT8	BROKE_WEST_RMT_032_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_032_RMT8_BROKE_WEST_RMT_032_RMT8_217697_Larvae	BROKE_WEST_RMT_032_RMT8	BROKE_WEST_RMT_032_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_032_RMT8_BROKE_WEST_RMT_032_RMT8_234695	BROKE_WEST_RMT_032_RMT8	BROKE_WEST_RMT_032_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_056_RMT8_BROKE_WEST_RMT_056_RMT8_234721	BROKE_WEST_RMT_056_RMT8	BROKE_WEST_RMT_056_RMT8_234721	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_065_RMT8_BROKE_WEST_RMT_065_RMT8_217697	BROKE_WEST_RMT_065_RMT8	BROKE_WEST_RMT_065_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_065_RMT8_BROKE_WEST_RMT_065_RMT8_217697_Larvae	BROKE_WEST_RMT_065_RMT8	BROKE_WEST_RMT_065_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_065_RMT8_BROKE_WEST_RMT_065_RMT8_217697_Postmeta	BROKE_WEST_RMT_065_RMT8	BROKE_WEST_RMT_065_RMT8_217697_Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals	Postmeta	detected	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_065_RMT8_BROKE_WEST_RMT_065_RMT8_234642	BROKE_WEST_RMT_065_RMT8	BROKE_WEST_RMT_065_RMT8_234642	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Gymnoscopelus braueri	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234642	Animalia	Gymnoscopelus braueri	Species
BROKE_WEST_RMT_070_RMT8_BROKE_WEST_RMT_070_RMT8_217697	BROKE_WEST_RMT_070_RMT8	BROKE_WEST_RMT_070_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_070_RMT8_BROKE_WEST_RMT_070_RMT8_217697_Larvae	BROKE_WEST_RMT_070_RMT8	BROKE_WEST_RMT_070_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_070_RMT8_BROKE_WEST_RMT_070_RMT8_234695	BROKE_WEST_RMT_070_RMT8	BROKE_WEST_RMT_070_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_085_RMT8_BROKE_WEST_RMT_085_RMT8_217697	BROKE_WEST_RMT_085_RMT8	BROKE_WEST_RMT_085_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_085_RMT8_BROKE_WEST_RMT_085_RMT8_217697_Postmeta	BROKE_WEST_RMT_085_RMT8	BROKE_WEST_RMT_085_RMT8_217697_Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Postmeta	detected	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_217697	BROKE_WEST_RMT_086_RMT8	BROKE_WEST_RMT_086_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_217697_Larvae	BROKE_WEST_RMT_086_RMT8	BROKE_WEST_RMT_086_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
