materialEntityID	eventID	materialCategory	materialEntityType	collectedBy	collectedByID	preparations	disposition	materialEntityRemarks	evidenceForOccurrenceID	derivedFromMaterialEntityID	derivationType	verbatimIdentification	identifiedBy	identifiedByID	identificationRemarks	taxonID	scientificName	taxonRank
AAV3FF_00335	BROKE_WEST_RMT_102_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_102_RMT8_234552			Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	closely resembles bathydraco antarcticus according to kellerman	urn:lsid:marinespecies.org:taxname:234552	Bathydraco	Genus
AAV3FP_00026	BROKE_WEST_RMT_102_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_102_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00336	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin			BROKE_WEST_RMT_105_RMT8_234721			Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234721	Pleuragramma antarcticum	Species
AAV3FF_00337	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin			BROKE_WEST_RMT_105_RMT8_234721			Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234721	Pleuragramma antarcticum	Species
AAV3FF_00338	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin			BROKE_WEST_RMT_105_RMT8_234721			Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234721	Pleuragramma antarcticum	Species
AAV3FF_00339	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol			BROKE_WEST_RMT_105_RMT8_234566			Trematomus sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234566	Trematomus	Genus
AAV3FF_00340	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol			BROKE_WEST_RMT_105_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00341	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol			BROKE_WEST_RMT_105_RMT8_234800			Gymnodraco acuticeps	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234800	Gymnodraco acuticeps	Species
AAV3FF_00342	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol			BROKE_WEST_RMT_105_RMT8_1621601			Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:1621601	Pagetopsis maculatus	Species
AAV3FF_00343	BROKE_WEST_RMT_105_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol			BROKE_WEST_RMT_105_RMT8_234730			Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234730	Pogonophryne marmorata	Species
AAV3FF_00344	BROKE_WEST_RMT_106_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_106_RMT8_234721			Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234721	Pleuragramma antarcticum	Species
AAV3FF_00345	BROKE_WEST_RMT_106_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_106_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00346	BROKE_WEST_RMT_106_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_106_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00347	BROKE_WEST_RMT_107_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234552	Bathydraco	Genus
AAV3FF_00348	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00349	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_1621601			Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:1621601	Pagetopsis maculatus	Species
AAV3FF_00350	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234730			Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234730	Pogonophryne marmorata	Species
