"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P117.1AL"	"P117.1AL_preserved"	64	"dry weight biomass"	"mg"
"IM18_358"	"P117.1AL_pure"	19	"DNA concentration"	"ng/µl"
"P117.1AS"	"P117.1AS_preserved"	71	"dry weight biomass"	"mg"
"IM18_357"	"P117.1AS_pure"	37	"DNA concentration"	"ng/µl"
"P117.1BS"	"P117.1BS_preserved"	244	"dry weight biomass"	"mg"
"IM18_359"	"P117.1BS_pure"	36	"DNA concentration"	"ng/µl"
"P117.2AL"	"P117.2AL_preserved"	2	"dry weight biomass"	"mg"
"P117.2AS"	"P117.2AS_preserved"	17	"dry weight biomass"	"mg"
"IM18_805"	"P117.2AS_pure"	17	"DNA concentration"	"ng/µl"
"P117.2BS"	"P117.2BS_preserved"	60	"dry weight biomass"	"mg"
"IM18_807"	"P117.2BS_pure"	38	"DNA concentration"	"ng/µl"
"P118.1AL"	"P118.1AL_preserved"	4	"dry weight biomass"	"mg"
"IM18_361"	"P118.1AL_pure"	2	"DNA concentration"	"ng/µl"
"P118.1AS"	"P118.1AS_preserved"	30	"dry weight biomass"	"mg"
"IM18_360"	"P118.1AS_pure"	15	"DNA concentration"	"ng/µl"
"P118.1BL"	"P118.1BL_preserved"	25	"dry weight biomass"	"mg"
"IM18_598"	"P118.1BL_pure"	11	"DNA concentration"	"ng/µl"
"P118.1BS"	"P118.1BS_preserved"	117	"dry weight biomass"	"mg"
"IM18_597"	"P118.1BS_pure"	60	"DNA concentration"	"ng/µl"
"P118.2AL"	"P118.2AL_preserved"	82	"dry weight biomass"	"mg"
"IM18_363"	"P118.2AL_pure"	37	"DNA concentration"	"ng/µl"
"P118.2AS"	"P118.2AS_preserved"	88	"dry weight biomass"	"mg"
"IM18_362"	"P118.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P118.2BL"	"P118.2BL_preserved"	4	"dry weight biomass"	"mg"
"IM18_129"	"P118.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P118.2BS"	"P118.2BS_preserved"	84	"dry weight biomass"	"mg"
"IM18_128"	"P118.2BS_pure"	40	"DNA concentration"	"ng/µl"
"P119.1AS"	"P119.1AS_preserved"	16	"dry weight biomass"	"mg"
"IM18_369"	"P119.1AS_pure"	5	"DNA concentration"	"ng/µl"
"P119.1BS"	"P119.1BS_preserved"	38	"dry weight biomass"	"mg"
"IM18_370"	"P119.1BS_pure"	31	"DNA concentration"	"ng/µl"
"P119.2AS"	"P119.2AS_preserved"	23	"dry weight biomass"	"mg"
"IM18_364"	"P119.2AS_pure"	11	"DNA concentration"	"ng/µl"
"P119.2BL"	"P119.2BL_preserved"	10	"dry weight biomass"	"mg"
"IM18_366"	"P119.2BL_pure"	2	"DNA concentration"	"ng/µl"
"P119.2BS"	"P119.2BS_preserved"	123	"dry weight biomass"	"mg"
"IM18_365"	"P119.2BS_pure"	45	"DNA concentration"	"ng/µl"
"P12.1AL"	"P12.1AL_preserved"	102	"dry weight biomass"	"mg"
"IM18_740"	"P12.1AL_pure"	19	"DNA concentration"	"ng/µl"
"P12.1AS"	"P12.1AS_preserved"	53	"dry weight biomass"	"mg"
"IM18_739"	"P12.1AS_pure"	38	"DNA concentration"	"ng/µl"
"P12.1BS"	"P12.1BS_preserved"	31	"dry weight biomass"	"mg"
"IM18_532"	"P12.1BS_pure"	19	"DNA concentration"	"ng/µl"
"P12.2AL"	"P12.2AL_preserved"	3	"dry weight biomass"	"mg"
"IM18_809"	"P12.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P12.2AS"	"P12.2AS_preserved"	13	"dry weight biomass"	"mg"
"IM18_808"	"P12.2AS_pure"	15	"DNA concentration"	"ng/µl"
"P12.2BL"	"P12.2BL_preserved"	6	"dry weight biomass"	"mg"
"IM18_811"	"P12.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P12.2BS"	"P12.2BS_preserved"	86	"dry weight biomass"	"mg"
"IM18_810"	"P12.2BS_pure"	55	"DNA concentration"	"ng/µl"
"P120.1AS"	"P120.1AS_preserved"	10	"dry weight biomass"	"mg"
"IM18_812"	"P120.1AS_pure"	8	"DNA concentration"	"ng/µl"
"P120.1BL"	"P120.1BL_preserved"	23	"dry weight biomass"	"mg"
"IM18_814"	"P120.1BL_pure"	3	"DNA concentration"	"ng/µl"
"P120.1BS"	"P120.1BS_preserved"	30	"dry weight biomass"	"mg"
"IM18_813"	"P120.1BS_pure"	27	"DNA concentration"	"ng/µl"
"P120.2AL"	"P120.2AL_preserved"	8	"dry weight biomass"	"mg"
"IM18_368"	"P120.2AL_pure"	6	"DNA concentration"	"ng/µl"
"P120.2AS"	"P120.2AS_preserved"	90	"dry weight biomass"	"mg"
"IM18_367"	"P120.2AS_pure"	44	"DNA concentration"	"ng/µl"
"P120.2BL"	"P120.2BL_preserved"	32	"dry weight biomass"	"mg"
"IM18_376"	"P120.2BL_pure"	7	"DNA concentration"	"ng/µl"
"P120.2BS"	"P120.2BS_preserved"	146	"dry weight biomass"	"mg"
"IM18_375"	"P120.2BS_pure"	56	"DNA concentration"	"ng/µl"
"P121.1AL"	"P121.1AL_preserved"	39	"dry weight biomass"	"mg"
"IM18_1042"	"P121.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P121.1AS"	"P121.1AS_preserved"	49	"dry weight biomass"	"mg"
"IM18_1041"	"P121.1AS_pure"	30	"DNA concentration"	"ng/µl"
"P121.1BL"	"P121.1BL_preserved"	25	"dry weight biomass"	"mg"
"IM18_600"	"P121.1BL_pure"	2	"DNA concentration"	"ng/µl"
"P121.1BS"	"P121.1BS_preserved"	236	"dry weight biomass"	"mg"
"IM18_599"	"P121.1BS_pure"	73	"DNA concentration"	"ng/µl"
"P121.2AL"	"P121.2AL_preserved"	4	"dry weight biomass"	"mg"
"IM18_911"	"P121.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P121.2AS"	"P121.2AS_preserved"	75	"dry weight biomass"	"mg"
"IM18_910"	"P121.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P121.2BL"	"P121.2BL_preserved"	25	"dry weight biomass"	"mg"
"IM18_913"	"P121.2BL_pure"	11	"DNA concentration"	"ng/µl"
"P121.2BS"	"P121.2BS_preserved"	60	"dry weight biomass"	"mg"
"IM18_912"	"P121.2BS_pure"	48	"DNA concentration"	"ng/µl"
"P122.1AL"	"P122.1AL_preserved"	85	"dry weight biomass"	"mg"
"IM18_131"	"P122.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P122.1AS"	"P122.1AS_preserved"	56	"dry weight biomass"	"mg"
"IM18_130"	"P122.1AS_pure"	24	"DNA concentration"	"ng/µl"
"P122.1BS"	"P122.1BS_preserved"	20	"dry weight biomass"	"mg"
"IM18_298"	"P122.1BS_pure"	13	"DNA concentration"	"ng/µl"
"P122.2AL"	"P122.2AL_preserved"	34	"dry weight biomass"	"mg"
"IM18_133"	"P122.2AL_pure"	7	"DNA concentration"	"ng/µl"
"P122.2AS"	"P122.2AS_preserved"	52	"dry weight biomass"	"mg"
"IM18_132"	"P122.2AS_pure"	34	"DNA concentration"	"ng/µl"
"P122.2BL"	"P122.2BL_preserved"	22	"dry weight biomass"	"mg"
"IM18_300"	"P122.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P122.2BS"	"P122.2BS_preserved"	41	"dry weight biomass"	"mg"
"IM18_299"	"P122.2BS_pure"	12	"DNA concentration"	"ng/µl"
"P123.1AS"	"P123.1AS_preserved"	65	"dry weight biomass"	"mg"
"IM18_815"	"P123.1AS_pure"	35	"DNA concentration"	"ng/µl"
"P123.1BS"	"P123.1BS_preserved"	83	"dry weight biomass"	"mg"
"IM18_816"	"P123.1BS_pure"	49	"DNA concentration"	"ng/µl"
"P123.2AL"	"P123.2AL_preserved"	13	"dry weight biomass"	"mg"
"P123.2AS"	"P123.2AS_preserved"	100	"dry weight biomass"	"mg"
"P123.2BL"	"P123.2BL_preserved"	14	"dry weight biomass"	"mg"
"P123.2BS"	"P123.2BS_preserved"	57	"dry weight biomass"	"mg"
"IM18_377"	"P123.2BS_pure"	28	"DNA concentration"	"ng/µl"
"P124.1AL"	"P124.1AL_preserved"	38	"dry weight biomass"	"mg"
"IM18_818"	"P124.1AL_pure"	12	"DNA concentration"	"ng/µl"
"P124.1AS"	"P124.1AS_preserved"	39	"dry weight biomass"	"mg"
"IM18_817"	"P124.1AS_pure"	28	"DNA concentration"	"ng/µl"
"P124.1BL"	"P124.1BL_preserved"	9	"dry weight biomass"	"mg"
"IM18_820"	"P124.1BL_pure"	3	"DNA concentration"	"ng/µl"
"P124.1BS"	"P124.1BS_preserved"	40	"dry weight biomass"	"mg"
"IM18_819"	"P124.1BS_pure"	32	"DNA concentration"	"ng/µl"
"P124.2AL"	"P124.2AL_preserved"	56	"dry weight biomass"	"mg"
"IM18_380"	"P124.2AL_pure"	11	"DNA concentration"	"ng/µl"
"P124.2AS"	"P124.2AS_preserved"	31	"dry weight biomass"	"mg"
"IM18_379"	"P124.2AS_pure"	15	"DNA concentration"	"ng/µl"
"P124.2BL"	"P124.2BL_preserved"	116	"dry weight biomass"	"mg"
"IM18_382"	"P124.2BL_pure"	13	"DNA concentration"	"ng/µl"
"P124.2BS"	"P124.2BS_preserved"	42	"dry weight biomass"	"mg"
"IM18_381"	"P124.2BS_pure"	16	"DNA concentration"	"ng/µl"
"P126.1AL"	"P126.1AL_preserved"	96	"dry weight biomass"	"mg"
"IM18_1016"	"P126.1AL_pure"	15	"DNA concentration"	"ng/µl"
"P126.1AS"	"P126.1AS_preserved"	64	"dry weight biomass"	"mg"
"IM18_1015"	"P126.1AS_pure"	19	"DNA concentration"	"ng/µl"
"P127.1AS"	"P127.1AS_preserved"	41	"dry weight biomass"	"mg"
"IM18_383"	"P127.1AS_pure"	21	"DNA concentration"	"ng/µl"
"P127.1BL"	"P127.1BL_preserved"	21	"dry weight biomass"	"mg"
"P127.1BS"	"P127.1BS_preserved"	211	"dry weight biomass"	"mg"
"IM18_384"	"P127.1BS_pure"	76	"DNA concentration"	"ng/µl"
"P127.2AL"	"P127.2AL_preserved"	11	"dry weight biomass"	"mg"
"IM18_822"	"P127.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P127.2AS"	"P127.2AS_preserved"	50	"dry weight biomass"	"mg"
