"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P269.1AS"	"P269.1AS_preserved"	170	"dry weight biomass"	"mg"
"IM19_724"	"P269.1AS_pure"	27	"DNA concentration"	"ng/µl"
"P269.1BL"	"P269.1BL_preserved"	7	"dry weight biomass"	"mg"
"IM19_207"	"P269.1BL_pure"	2	"DNA concentration"	"ng/µl"
"P269.1BS"	"P269.1BS_preserved"	567	"dry weight biomass"	"mg"
"IM19_206"	"P269.1BS_pure"	146	"DNA concentration"	"ng/µl"
"P269.2AL"	"P269.2AL_preserved"	22	"dry weight biomass"	"mg"
"IM19_727"	"P269.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P269.2AS"	"P269.2AS_preserved"	147	"dry weight biomass"	"mg"
"IM19_726"	"P269.2AS_pure"	28	"DNA concentration"	"ng/µl"
"P269.2BS"	"P269.2BS_preserved"	440	"dry weight biomass"	"mg"
"IM19_208"	"P269.2BS_pure"	37	"DNA concentration"	"ng/µl"
"P27.1AS"	"P27.1AS_preserved"	23	"dry weight biomass"	"mg"
"IM18_46"	"P27.1AS_pure"	13	"DNA concentration"	"ng/µl"
"P27.1BL"	"P27.1BL_preserved"	7	"dry weight biomass"	"mg"
"P27.1BS"	"P27.1BS_preserved"	67	"dry weight biomass"	"mg"
"IM18_695"	"P27.1BS_pure"	9	"DNA concentration"	"ng/µl"
"IM18_695"	"P27.1BS_pure"	9	"DNA concentration"	"ng/µl"
"P27.2BL"	"P27.2BL_preserved"	10	"dry weight biomass"	"mg"
"IM18_21"	"P27.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P27.2BS"	"P27.2BS_preserved"	67	"dry weight biomass"	"mg"
"IM18_20"	"P27.2BS_pure"	40	"DNA concentration"	"ng/µl"
"P270.1AL"	"P270.1AL_preserved"	41	"dry weight biomass"	"mg"
"IM19_729"	"P270.1AL_pure"	14	"DNA concentration"	"ng/µl"
"P270.1AS"	"P270.1AS_preserved"	82	"dry weight biomass"	"mg"
"IM19_728"	"P270.1AS_pure"	25	"DNA concentration"	"ng/µl"
"P270.1BL"	"P270.1BL_preserved"	114	"dry weight biomass"	"mg"
"IM19_210"	"P270.1BL_pure"	22	"DNA concentration"	"ng/µl"
"P270.1BS"	"P270.1BS_preserved"	126	"dry weight biomass"	"mg"
"IM19_209"	"P270.1BS_pure"	38	"DNA concentration"	"ng/µl"
"P270.2AL"	"P270.2AL_preserved"	50	"dry weight biomass"	"mg"
"IM19_731"	"P270.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P270.2AS"	"P270.2AS_preserved"	45	"dry weight biomass"	"mg"
"IM19_730"	"P270.2AS_pure"	20	"DNA concentration"	"ng/µl"
"P270.2BL"	"P270.2BL_preserved"	49	"dry weight biomass"	"mg"
"IM19_212"	"P270.2BL_pure"	10	"DNA concentration"	"ng/µl"
"P270.2BS"	"P270.2BS_preserved"	13	"dry weight biomass"	"mg"
"IM19_211"	"P270.2BS_pure"	11	"DNA concentration"	"ng/µl"
"P271.1AL"	"P271.1AL_preserved"	7	"dry weight biomass"	"mg"
"IM19_733"	"P271.1AL_pure"	2	"DNA concentration"	"ng/µl"
"P271.1AS"	"P271.1AS_preserved"	42	"dry weight biomass"	"mg"
"IM19_732"	"P271.1AS_pure"	21	"DNA concentration"	"ng/µl"
"P271.1BS"	"P271.1BS_preserved"	30	"dry weight biomass"	"mg"
"IM19_213"	"P271.1BS_pure"	23	"DNA concentration"	"ng/µl"
"P271.2AL"	"P271.2AL_preserved"	11	"dry weight biomass"	"mg"
"IM19_735"	"P271.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P271.2AS"	"P271.2AS_preserved"	114	"dry weight biomass"	"mg"
"IM19_734"	"P271.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P271.2BS"	"P271.2BS_preserved"	23	"dry weight biomass"	"mg"
"IM19_214"	"P271.2BS_pure"	15	"DNA concentration"	"ng/µl"
"P272.1AS"	"P272.1AS_preserved"	16	"dry weight biomass"	"mg"
"IM19_736"	"P272.1AS_pure"	7	"DNA concentration"	"ng/µl"
"P272.1BS"	"P272.1BS_preserved"	21	"dry weight biomass"	"mg"
"IM19_215"	"P272.1BS_pure"	18	"DNA concentration"	"ng/µl"
"P272.2AS"	"P272.2AS_preserved"	1	"dry weight biomass"	"mg"
"P272.2BS"	"P272.2BS_preserved"	3	"dry weight biomass"	"mg"
"IM19_216"	"P272.2BS_pure"	5	"DNA concentration"	"ng/µl"
"P273.1AL"	"P273.1AL_preserved"	114	"dry weight biomass"	"mg"
"IM19_739"	"P273.1AL_pure"	8	"DNA concentration"	"ng/µl"
"P273.1AS"	"P273.1AS_preserved"	164	"dry weight biomass"	"mg"
"IM19_738"	"P273.1AS_pure"	43	"DNA concentration"	"ng/µl"
"P273.1BS"	"P273.1BS_preserved"	103	"dry weight biomass"	"mg"
"IM19_217"	"P273.1BS_pure"	41	"DNA concentration"	"ng/µl"
"P273.2AL"	"P273.2AL_preserved"	87	"dry weight biomass"	"mg"
"IM19_741"	"P273.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P273.2AS"	"P273.2AS_preserved"	880	"dry weight biomass"	"mg"
"IM19_740"	"P273.2AS_pure"	45	"DNA concentration"	"ng/µl"
"P273.2BL"	"P273.2BL_preserved"	45	"dry weight biomass"	"mg"
"IM19_219"	"P273.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P273.2BS"	"P273.2BS_preserved"	314	"dry weight biomass"	"mg"
"IM19_218"	"P273.2BS_pure"	45	"DNA concentration"	"ng/µl"
"P274.1AL"	"P274.1AL_preserved"	39	"dry weight biomass"	"mg"
"IM19_743"	"P274.1AL_pure"	5	"DNA concentration"	"ng/µl"
"P274.1AS"	"P274.1AS_preserved"	60	"dry weight biomass"	"mg"
"IM19_742"	"P274.1AS_pure"	18	"DNA concentration"	"ng/µl"
"P274.1BL"	"P274.1BL_preserved"	101	"dry weight biomass"	"mg"
"IM19_221"	"P274.1BL_pure"	10	"DNA concentration"	"ng/µl"
"P274.1BS"	"P274.1BS_preserved"	31	"dry weight biomass"	"mg"
"IM19_220"	"P274.1BS_pure"	21	"DNA concentration"	"ng/µl"
"P274.2AS"	"P274.2AS_preserved"	56	"dry weight biomass"	"mg"
"IM19_744"	"P274.2AS_pure"	27	"DNA concentration"	"ng/µl"
"P274.2BL"	"P274.2BL_preserved"	294	"dry weight biomass"	"mg"
"IM19_223"	"P274.2BL_pure"	15	"DNA concentration"	"ng/µl"
"P274.2BS"	"P274.2BS_preserved"	48	"dry weight biomass"	"mg"
"IM19_222"	"P274.2BS_pure"	25	"DNA concentration"	"ng/µl"
"P275.1AL"	"P275.1AL_preserved"	24	"dry weight biomass"	"mg"
"IM19_746"	"P275.1AL_pure"	4	"DNA concentration"	"ng/µl"
"P275.1AS"	"P275.1AS_preserved"	487	"dry weight biomass"	"mg"
"IM19_745"	"P275.1AS_pure"	42	"DNA concentration"	"ng/µl"
"P275.1BL"	"P275.1BL_preserved"	17	"dry weight biomass"	"mg"
"IM19_225"	"P275.1BL_pure"	6	"DNA concentration"	"ng/µl"
"P275.1BS"	"P275.1BS_preserved"	132	"dry weight biomass"	"mg"
"IM19_224"	"P275.1BS_pure"	46	"DNA concentration"	"ng/µl"
"P275.2AS"	"P275.2AS_preserved"	101	"dry weight biomass"	"mg"
"IM19_747"	"P275.2AS_pure"	22	"DNA concentration"	"ng/µl"
"P275.2BL"	"P275.2BL_preserved"	61	"dry weight biomass"	"mg"
"IM19_227"	"P275.2BL_pure"	17	"DNA concentration"	"ng/µl"
"P275.2BS"	"P275.2BS_preserved"	201	"dry weight biomass"	"mg"
"IM19_226"	"P275.2BS_pure"	46	"DNA concentration"	"ng/µl"
"P276.1AL"	"P276.1AL_preserved"	54	"dry weight biomass"	"mg"
"IM19_749"	"P276.1AL_pure"	22	"DNA concentration"	"ng/µl"
"P276.1AS"	"P276.1AS_preserved"	120	"dry weight biomass"	"mg"
"IM19_748"	"P276.1AS_pure"	39	"DNA concentration"	"ng/µl"
"P276.1BL"	"P276.1BL_preserved"	6	"dry weight biomass"	"mg"
"IM19_1117"	"P276.1BL_pure"	8	"DNA concentration"	"ng/µl"
"P276.1BS"	"P276.1BS_preserved"	167	"dry weight biomass"	"mg"
"IM19_1116"	"P276.1BS_pure"	61	"DNA concentration"	"ng/µl"
"P276.2AL"	"P276.2AL_preserved"	52	"dry weight biomass"	"mg"
"IM19_751"	"P276.2AL_pure"	13	"DNA concentration"	"ng/µl"
"P276.2AS"	"P276.2AS_preserved"	132	"dry weight biomass"	"mg"
"IM19_750"	"P276.2AS_pure"	38	"DNA concentration"	"ng/µl"
"P276.2BL"	"P276.2BL_preserved"	110	"dry weight biomass"	"mg"
"IM19_229"	"P276.2BL_pure"	15	"DNA concentration"	"ng/µl"
"P276.2BS"	"P276.2BS_preserved"	193	"dry weight biomass"	"mg"
"IM19_228"	"P276.2BS_pure"	53	"DNA concentration"	"ng/µl"
"P278.1AL"	"P278.1AL_preserved"	41	"dry weight biomass"	"mg"
"IM19_753"	"P278.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P278.1AS"	"P278.1AS_preserved"	224	"dry weight biomass"	"mg"
"IM19_752"	"P278.1AS_pure"	38	"DNA concentration"	"ng/µl"
"P278.1BL"	"P278.1BL_preserved"	75	"dry weight biomass"	"mg"
"IM19_231"	"P278.1BL_pure"	2	"DNA concentration"	"ng/µl"
"P278.1BS"	"P278.1BS_preserved"	126	"dry weight biomass"	"mg"
"IM19_230"	"P278.1BS_pure"	49	"DNA concentration"	"ng/µl"
"P278.2AL"	"P278.2AL_preserved"	36	"dry weight biomass"	"mg"
"IM19_755"	"P278.2AL_pure"	19	"DNA concentration"	"ng/µl"
"P278.2AS"	"P278.2AS_preserved"	220	"dry weight biomass"	"mg"
"IM19_754"	"P278.2AS_pure"	39	"DNA concentration"	"ng/µl"
"P278.2BL"	"P278.2BL_preserved"	45	"dry weight biomass"	"mg"
"IM19_233"	"P278.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P278.2BS"	"P278.2BS_preserved"	244	"dry weight biomass"	"mg"
"IM19_232"	"P278.2BS_pure"	55	"DNA concentration"	"ng/µl"
"P279.1AL"	"P279.1AL_preserved"	57	"dry weight biomass"	"mg"
"IM19_757"	"P279.1AL_pure"	19	"DNA concentration"	"ng/µl"
"P279.1AS"	"P279.1AS_preserved"	52	"dry weight biomass"	"mg"
"IM19_756"	"P279.1AS_pure"	26	"DNA concentration"	"ng/µl"
"P279.1BL"	"P279.1BL_preserved"	96	"dry weight biomass"	"mg"
"IM19_235"	"P279.1BL_pure"	13	"DNA concentration"	"ng/µl"
"P279.1BS"	"P279.1BS_preserved"	223	"dry weight biomass"	"mg"
"IM19_234"	"P279.1BS_pure"	57	"DNA concentration"	"ng/µl"
"P279.2AL"	"P279.2AL_preserved"	188	"dry weight biomass"	"mg"
"IM19_759"	"P279.2AL_pure"	13	"DNA concentration"	"ng/µl"
"P279.2AS"	"P279.2AS_preserved"	485	"dry weight biomass"	"mg"
"IM19_758"	"P279.2AS_pure"	41	"DNA concentration"	"ng/µl"
"P279.2BL"	"P279.2BL_preserved"	91	"dry weight biomass"	"mg"
"IM19_237"	"P279.2BL_pure"	19	"DNA concentration"	"ng/µl"
"P279.2BS"	"P279.2BS_preserved"	710	"dry weight biomass"	"mg"
"IM19_236"	"P279.2BS_pure"	121	"DNA concentration"	"ng/µl"
"P28.1AL"	"P28.1AL_preserved"	132	"dry weight biomass"	"mg"
"IM18_274"	"P28.1AL_pure"	28	"DNA concentration"	"ng/µl"
"P28.1AS"	"P28.1AS_preserved"	154	"dry weight biomass"	"mg"
"IM18_273"	"P28.1AS_pure"	31	"DNA concentration"	"ng/µl"
"P28.1BL"	"P28.1BL_preserved"	86	"dry weight biomass"	"mg"
"IM18_692"	"P28.1BL_pure"	30	"DNA concentration"	"ng/µl"
"P28.1BS"	"P28.1BS_preserved"	18	"dry weight biomass"	"mg"
"IM18_691"	"P28.1BS_pure"	6	"DNA concentration"	"ng/µl"
"P28.2AL"	"P28.2AL_preserved"	44	"dry weight biomass"	"mg"
"IM18_48"	"P28.2AL_pure"	15	"DNA concentration"	"ng/µl"
"P28.2AS"	"P28.2AS_preserved"	78	"dry weight biomass"	"mg"
"IM18_47"	"P28.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P28.2BL"	"P28.2BL_preserved"	13	"dry weight biomass"	"mg"
"IM18_50"	"P28.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P28.2BS"	"P28.2BS_preserved"	54	"dry weight biomass"	"mg"
"IM18_49"	"P28.2BS_pure"	25	"DNA concentration"	"ng/µl"
"P280.1AS"	"P280.1AS_preserved"	11	"dry weight biomass"	"mg"
"IM19_760"	"P280.1AS_pure"	5	"DNA concentration"	"ng/µl"
"P280.1BL"	"P280.1BL_preserved"	21	"dry weight biomass"	"mg"
"IM19_239"	"P280.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P280.1BS"	"P280.1BS_preserved"	87	"dry weight biomass"	"mg"
"IM19_238"	"P280.1BS_pure"	37	"DNA concentration"	"ng/µl"
"P280.2AL"	"P280.2AL_preserved"	86	"dry weight biomass"	"mg"
"IM19_762"	"P280.2AL_pure"	13	"DNA concentration"	"ng/µl"
"P280.2AS"	"P280.2AS_preserved"	152	"dry weight biomass"	"mg"
"IM19_761"	"P280.2AS_pure"	33	"DNA concentration"	"ng/µl"
"P280.2BS"	"P280.2BS_preserved"	635	"dry weight biomass"	"mg"
"IM19_240"	"P280.2BS_pure"	61	"DNA concentration"	"ng/µl"
"P281.1AS"	"P281.1AS_preserved"	66	"dry weight biomass"	"mg"
"IM19_763"	"P281.1AS_pure"	33	"DNA concentration"	"ng/µl"
"P281.1BL"	"P281.1BL_preserved"	50	"dry weight biomass"	"mg"
"IM19_242"	"P281.1BL_pure"	25	"DNA concentration"	"ng/µl"
"P281.1BS"	"P281.1BS_preserved"	97	"dry weight biomass"	"mg"
"IM19_241"	"P281.1BS_pure"	44	"DNA concentration"	"ng/µl"
"P281.2AL"	"P281.2AL_preserved"	143	"dry weight biomass"	"mg"
"IM19_765"	"P281.2AL_pure"	5	"DNA concentration"	"ng/µl"
"P281.2AS"	"P281.2AS_preserved"	85	"dry weight biomass"	"mg"
"IM19_764"	"P281.2AS_pure"	34	"DNA concentration"	"ng/µl"
"P281.2BL"	"P281.2BL_preserved"	71	"dry weight biomass"	"mg"
"IM19_244"	"P281.2BL_pure"	19	"DNA concentration"	"ng/µl"
"P281.2BS"	"P281.2BS_preserved"	143	"dry weight biomass"	"mg"
"IM19_243"	"P281.2BS_pure"	53	"DNA concentration"	"ng/µl"
"P282.1AL"	"P282.1AL_preserved"	16	"dry weight biomass"	"mg"
"IM19_767"	"P282.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P282.1AS"	"P282.1AS_preserved"	32	"dry weight biomass"	"mg"
"IM19_766"	"P282.1AS_pure"	26	"DNA concentration"	"ng/µl"
"P282.1BS"	"P282.1BS_preserved"	34	"dry weight biomass"	"mg"
"IM19_245"	"P282.1BS_pure"	12	"DNA concentration"	"ng/µl"
"P282.2AL"	"P282.2AL_preserved"	12	"dry weight biomass"	"mg"
"IM19_769"	"P282.2AL_pure"	22	"DNA concentration"	"ng/µl"
"P282.2AS"	"P282.2AS_preserved"	36	"dry weight biomass"	"mg"
"IM19_768"	"P282.2AS_pure"	18	"DNA concentration"	"ng/µl"
"P282.2BL"	"P282.2BL_preserved"	160	"dry weight biomass"	"mg"
"IM19_1099"	"P282.2BL_pure"	30	"DNA concentration"	"ng/µl"
"P282.2BS"	"P282.2BS_preserved"	47	"dry weight biomass"	"mg"
"IM19_1098"	"P282.2BS_pure"	21	"DNA concentration"	"ng/µl"
"P283.1AL"	"P283.1AL_preserved"	8	"dry weight biomass"	"mg"
"IM19_771"	"P283.1AL_pure"	11	"DNA concentration"	"ng/µl"
"P283.1AS"	"P283.1AS_preserved"	34	"dry weight biomass"	"mg"
"IM19_770"	"P283.1AS_pure"	17	"DNA concentration"	"ng/µl"
"P283.1BL"	"P283.1BL_preserved"	6	"dry weight biomass"	"mg"
"IM19_247"	"P283.1BL_pure"	5	"DNA concentration"	"ng/µl"
"P283.1BS"	"P283.1BS_preserved"	46	"dry weight biomass"	"mg"
"IM19_246"	"P283.1BS_pure"	13	"DNA concentration"	"ng/µl"
"P283.2AL"	"P283.2AL_preserved"	2	"dry weight biomass"	"mg"
"IM19_773"	"P283.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P283.2AS"	"P283.2AS_preserved"	111	"dry weight biomass"	"mg"
"IM19_772"	"P283.2AS_pure"	26	"DNA concentration"	"ng/µl"
"P283.2BL"	"P283.2BL_preserved"	10	"dry weight biomass"	"mg"
"IM19_249"	"P283.2BL_pure"	13	"DNA concentration"	"ng/µl"
"P283.2BS"	"P283.2BS_preserved"	32	"dry weight biomass"	"mg"
"IM19_248"	"P283.2BS_pure"	18	"DNA concentration"	"ng/µl"
"P284.1AL"	"P284.1AL_preserved"	33	"dry weight biomass"	"mg"
"IM19_775"	"P284.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P284.1AS"	"P284.1AS_preserved"	121	"dry weight biomass"	"mg"
"IM19_774"	"P284.1AS_pure"	38	"DNA concentration"	"ng/µl"
"P284.1BL"	"P284.1BL_preserved"	55	"dry weight biomass"	"mg"
"IM19_251"	"P284.1BL_pure"	6	"DNA concentration"	"ng/µl"
"P284.1BS"	"P284.1BS_preserved"	47	"dry weight biomass"	"mg"
"IM19_250"	"P284.1BS_pure"	22	"DNA concentration"	"ng/µl"
"P284.2AL"	"P284.2AL_preserved"	6	"dry weight biomass"	"mg"
"IM19_777"	"P284.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P284.2AS"	"P284.2AS_preserved"	63	"dry weight biomass"	"mg"
"IM19_776"	"P284.2AS_pure"	29	"DNA concentration"	"ng/µl"
"P284.2BL"	"P284.2BL_preserved"	8	"dry weight biomass"	"mg"
"IM19_253"	"P284.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P284.2BS"	"P284.2BS_preserved"	19	"dry weight biomass"	"mg"
"IM19_252"	"P284.2BS_pure"	9	"DNA concentration"	"ng/µl"
"P285.1AL"	"P285.1AL_preserved"	22	"dry weight biomass"	"mg"
"IM19_779"	"P285.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P285.1AS"	"P285.1AS_preserved"	33	"dry weight biomass"	"mg"
"IM19_778"	"P285.1AS_pure"	27	"DNA concentration"	"ng/µl"
"P285.1BL"	"P285.1BL_preserved"	18	"dry weight biomass"	"mg"
"IM19_255"	"P285.1BL_pure"	8	"DNA concentration"	"ng/µl"
"P285.1BS"	"P285.1BS_preserved"	143	"dry weight biomass"	"mg"
"IM19_254"	"P285.1BS_pure"	57	"DNA concentration"	"ng/µl"
"P285.2AL"	"P285.2AL_preserved"	53	"dry weight biomass"	"mg"
"IM19_781"	"P285.2AL_pure"	16	"DNA concentration"	"ng/µl"
"P285.2AS"	"P285.2AS_preserved"	63	"dry weight biomass"	"mg"
"IM19_780"	"P285.2AS_pure"	33	"DNA concentration"	"ng/µl"
"P285.2BL"	"P285.2BL_preserved"	6	"dry weight biomass"	"mg"
"IM19_257"	"P285.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P285.2BS"	"P285.2BS_preserved"	131	"dry weight biomass"	"mg"
"IM19_256"	"P285.2BS_pure"	35	"DNA concentration"	"ng/µl"
"P286.1AL"	"P286.1AL_preserved"	84	"dry weight biomass"	"mg"
"IM19_783"	"P286.1AL_pure"	7	"DNA concentration"	"ng/µl"
"P286.1AS"	"P286.1AS_preserved"	31	"dry weight biomass"	"mg"
"IM19_782"	"P286.1AS_pure"	20	"DNA concentration"	"ng/µl"
"P286.1BL"	"P286.1BL_preserved"	165	"dry weight biomass"	"mg"
"IM19_259"	"P286.1BL_pure"	19	"DNA concentration"	"ng/µl"
"P286.1BS"	"P286.1BS_preserved"	37	"dry weight biomass"	"mg"
"IM19_258"	"P286.1BS_pure"	25	"DNA concentration"	"ng/µl"
"P286.2AL"	"P286.2AL_preserved"	23	"dry weight biomass"	"mg"
"IM19_785"	"P286.2AL_pure"	10	"DNA concentration"	"ng/µl"
"P286.2AS"	"P286.2AS_preserved"	100	"dry weight biomass"	"mg"
"IM19_784"	"P286.2AS_pure"	35	"DNA concentration"	"ng/µl"
"P286.2BL"	"P286.2BL_preserved"	74	"dry weight biomass"	"mg"
"IM19_261"	"P286.2BL_pure"	25	"DNA concentration"	"ng/µl"
"P286.2BS"	"P286.2BS_preserved"	56	"dry weight biomass"	"mg"
"IM19_260"	"P286.2BS_pure"	30	"DNA concentration"	"ng/µl"
"P288.1AS"	"P288.1AS_preserved"	11	"dry weight biomass"	"mg"
"IM19_786"	"P288.1AS_pure"	8	"DNA concentration"	"ng/µl"
"P288.1BS"	"P288.1BS_preserved"	24	"dry weight biomass"	"mg"
"IM19_262"	"P288.1BS_pure"	23	"DNA concentration"	"ng/µl"
"P288.2AL"	"P288.2AL_preserved"	2	"dry weight biomass"	"mg"
"IM19_788"	"P288.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P288.2AS"	"P288.2AS_preserved"	44	"dry weight biomass"	"mg"
"IM19_787"	"P288.2AS_pure"	23	"DNA concentration"	"ng/µl"
"P288.2BL"	"P288.2BL_preserved"	61	"dry weight biomass"	"mg"
"IM19_1119"	"P288.2BL_pure"	10	"DNA concentration"	"ng/µl"
"P288.2BS"	"P288.2BS_preserved"	257	"dry weight biomass"	"mg"
"IM19_1118"	"P288.2BS_pure"	56	"DNA concentration"	"ng/µl"
"P289.1AL"	"P289.1AL_preserved"	8	"dry weight biomass"	"mg"
"IM19_790"	"P289.1AL_pure"	8	"DNA concentration"	"ng/µl"
"P289.1AS"	"P289.1AS_preserved"	181	"dry weight biomass"	"mg"
"IM19_789"	"P289.1AS_pure"	27	"DNA concentration"	"ng/µl"
"P289.1BL"	"P289.1BL_preserved"	21	"dry weight biomass"	"mg"
"IM19_264"	"P289.1BL_pure"	21	"DNA concentration"	"ng/µl"
"P289.1BS"	"P289.1BS_preserved"	282	"dry weight biomass"	"mg"
"IM19_263"	"P289.1BS_pure"	52	"DNA concentration"	"ng/µl"
"P289.2AS"	"P289.2AS_preserved"	68	"dry weight biomass"	"mg"
"IM19_791"	"P289.2AS_pure"	34	"DNA concentration"	"ng/µl"
"P289.2BL"	"P289.2BL_preserved"	8	"dry weight biomass"	"mg"
"P289.2BS"	"P289.2BS_preserved"	311	"dry weight biomass"	"mg"
"IM19_265"	"P289.2BS_pure"	54	"DNA concentration"	"ng/µl"
"P29.1AL"	"P29.1AL_preserved"	5	"dry weight biomass"	"mg"
"IM18_887"	"P29.1AL_pure"	7	"DNA concentration"	"ng/µl"
"P29.1AS"	"P29.1AS_preserved"	57	"dry weight biomass"	"mg"
"IM18_886"	"P29.1AS_pure"	48	"DNA concentration"	"ng/µl"
"P29.1BL"	"P29.1BL_preserved"	58	"dry weight biomass"	"mg"
"IM18_889"	"P29.1BL_pure"	14	"DNA concentration"	"ng/µl"
"P29.1BS"	"P29.1BS_preserved"	164	"dry weight biomass"	"mg"
"IM18_888"	"P29.1BS_pure"	67	"DNA concentration"	"ng/µl"
"P29.2AL"	"P29.2AL_preserved"	63	"dry weight biomass"	"mg"
"IM18_722"	"P29.2AL_pure"	45	"DNA concentration"	"ng/µl"
"P29.2AS"	"P29.2AS_preserved"	100	"dry weight biomass"	"mg"
"IM18_721"	"P29.2AS_pure"	51	"DNA concentration"	"ng/µl"
"P29.2BS"	"P29.2BS_preserved"	112	"dry weight biomass"	"mg"
"IM18_560"	"P29.2BS_pure"	60	"DNA concentration"	"ng/µl"
"P290.1AS"	"P290.1AS_preserved"	13	"dry weight biomass"	"mg"
"IM19_792"	"P290.1AS_pure"	11	"DNA concentration"	"ng/µl"
"P290.1BS"	"P290.1BS_preserved"	33	"dry weight biomass"	"mg"
"IM19_1120"	"P290.1BS_pure"	18	"DNA concentration"	"ng/µl"
"P290.2AL"	"P290.2AL_preserved"	37	"dry weight biomass"	"mg"
"IM19_794"	"P290.2AL_pure"	7	"DNA concentration"	"ng/µl"
"P290.2AS"	"P290.2AS_preserved"	48	"dry weight biomass"	"mg"
"IM19_793"	"P290.2AS_pure"	21	"DNA concentration"	"ng/µl"
"P290.2BS"	"P290.2BS_preserved"	76	"dry weight biomass"	"mg"
"IM19_267"	"P290.2BS_pure"	34	"DNA concentration"	"ng/µl"
"P291.1AS"	"P291.1AS_preserved"	48	"dry weight biomass"	"mg"
"IM19_795"	"P291.1AS_pure"	26	"DNA concentration"	"ng/µl"
"P291.1BS"	"P291.1BS_preserved"	32	"dry weight biomass"	"mg"
"IM19_268"	"P291.1BS_pure"	21	"DNA concentration"	"ng/µl"
"P291.2AL"	"P291.2AL_preserved"	32	"dry weight biomass"	"mg"
"IM19_797"	"P291.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P291.2AS"	"P291.2AS_preserved"	109	"dry weight biomass"	"mg"
"IM19_796"	"P291.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P291.2BL"	"P291.2BL_preserved"	104	"dry weight biomass"	"mg"
"IM19_270"	"P291.2BL_pure"	12	"DNA concentration"	"ng/µl"
"P291.2BS"	"P291.2BS_preserved"	127	"dry weight biomass"	"mg"
"IM19_269"	"P291.2BS_pure"	40	"DNA concentration"	"ng/µl"
"P292.1AL"	"P292.1AL_preserved"	53	"dry weight biomass"	"mg"
"IM19_799"	"P292.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P292.1AS"	"P292.1AS_preserved"	130	"dry weight biomass"	"mg"
"IM19_798"	"P292.1AS_pure"	29	"DNA concentration"	"ng/µl"
"P292.1BL"	"P292.1BL_preserved"	101	"dry weight biomass"	"mg"
"IM19_272"	"P292.1BL_pure"	15	"DNA concentration"	"ng/µl"
"P292.1BS"	"P292.1BS_preserved"	283	"dry weight biomass"	"mg"
"IM19_271"	"P292.1BS_pure"	53	"DNA concentration"	"ng/µl"
"P292.2AL"	"P292.2AL_preserved"	30	"dry weight biomass"	"mg"
"IM19_801"	"P292.2AL_pure"	17	"DNA concentration"	"ng/µl"
"P292.2AS"	"P292.2AS_preserved"	174	"dry weight biomass"	"mg"
"IM19_800"	"P292.2AS_pure"	34	"DNA concentration"	"ng/µl"
"P292.2BL"	"P292.2BL_preserved"	42	"dry weight biomass"	"mg"
"IM19_274"	"P292.2BL_pure"	10	"DNA concentration"	"ng/µl"
"P292.2BS"	"P292.2BS_preserved"	1126	"dry weight biomass"	"mg"
"IM19_273"	"P292.2BS_pure"	57	"DNA concentration"	"ng/µl"
"P293.1AL"	"P293.1AL_preserved"	28	"dry weight biomass"	"mg"
"IM19_1122"	"P293.1AL_pure"	3	"DNA concentration"	"ng/µl"
"P293.1AS"	"P293.1AS_preserved"	184	"dry weight biomass"	"mg"
"IM19_1121"	"P293.1AS_pure"	57	"DNA concentration"	"ng/µl"
"P293.1BL"	"P293.1BL_preserved"	19	"dry weight biomass"	"mg"
"IM19_1124"	"P293.1BL_pure"	14	"DNA concentration"	"ng/µl"
"P293.1BS"	"P293.1BS_preserved"	218	"dry weight biomass"	"mg"
"IM19_1123"	"P293.1BS_pure"	52	"DNA concentration"	"ng/µl"
"P293.2AL"	"P293.2AL_preserved"	259	"dry weight biomass"	"mg"
"IM19_803"	"P293.2AL_pure"	24	"DNA concentration"	"ng/µl"
"P293.2AS"	"P293.2AS_preserved"	1712	"dry weight biomass"	"mg"
"IM19_802"	"P293.2AS_pure"	60	"DNA concentration"	"ng/µl"
"P293.2BL"	"P293.2BL_preserved"	47	"dry weight biomass"	"mg"
