"surveyTargetID"	"surveyID"	"surveyTargetType"	"surveyTargetValue"	"includeOrExclude"	"isSurveyTargetFullyReported"
"P311.1A_taxon"	"P311.1A"	"taxon"	"Insecta"	"include"	"true"
"P311.1B_taxon"	"P311.1B"	"taxon"	"Insecta"	"include"	"true"
"P26.2A_taxon"	"P26.2A"	"taxon"	"Insecta"	"include"	"true"
"P26.2B_taxon"	"P26.2B"	"taxon"	"Insecta"	"include"	"true"
"P311.2A_taxon"	"P311.2A"	"taxon"	"Insecta"	"include"	"true"
"P311.2B_taxon"	"P311.2B"	"taxon"	"Insecta"	"include"	"true"
"P214.1A_taxon"	"P214.1A"	"taxon"	"Insecta"	"include"	"true"
"P214.1B_taxon"	"P214.1B"	"taxon"	"Insecta"	"include"	"true"
"P27.1A_taxon"	"P27.1A"	"taxon"	"Insecta"	"include"	"true"
"P27.1B_taxon"	"P27.1B"	"taxon"	"Insecta"	"include"	"true"
"P214.2A_taxon"	"P214.2A"	"taxon"	"Insecta"	"include"	"true"
"P214.2B_taxon"	"P214.2B"	"taxon"	"Insecta"	"include"	"true"
"P27.2A_taxon"	"P27.2A"	"taxon"	"Insecta"	"include"	"true"
"P27.2B_taxon"	"P27.2B"	"taxon"	"Insecta"	"include"	"true"
"P28.1A_taxon"	"P28.1A"	"taxon"	"Insecta"	"include"	"true"
"P28.1B_taxon"	"P28.1B"	"taxon"	"Insecta"	"include"	"true"
"P28.2A_taxon"	"P28.2A"	"taxon"	"Insecta"	"include"	"true"
"P28.2B_taxon"	"P28.2B"	"taxon"	"Insecta"	"include"	"true"
"P236.1A_taxon"	"P236.1A"	"taxon"	"Insecta"	"include"	"true"
"P236.1B_taxon"	"P236.1B"	"taxon"	"Insecta"	"include"	"true"
"P29.1A_taxon"	"P29.1A"	"taxon"	"Insecta"	"include"	"true"
"P29.1B_taxon"	"P29.1B"	"taxon"	"Insecta"	"include"	"true"
"P236.2A_taxon"	"P236.2A"	"taxon"	"Insecta"	"include"	"true"
"P236.2B_taxon"	"P236.2B"	"taxon"	"Insecta"	"include"	"true"
"P29.2A_taxon"	"P29.2A"	"taxon"	"Insecta"	"include"	"true"
"P29.2B_taxon"	"P29.2B"	"taxon"	"Insecta"	"include"	"true"
"P275.1A_taxon"	"P275.1A"	"taxon"	"Insecta"	"include"	"true"
"P275.1B_taxon"	"P275.1B"	"taxon"	"Insecta"	"include"	"true"
"P30.1A_taxon"	"P30.1A"	"taxon"	"Insecta"	"include"	"true"
"P30.1B_taxon"	"P30.1B"	"taxon"	"Insecta"	"include"	"true"
"P275.2A_taxon"	"P275.2A"	"taxon"	"Insecta"	"include"	"true"
"P275.2B_taxon"	"P275.2B"	"taxon"	"Insecta"	"include"	"true"
"P30.2A_taxon"	"P30.2A"	"taxon"	"Insecta"	"include"	"true"
"P30.2B_taxon"	"P30.2B"	"taxon"	"Insecta"	"include"	"true"
"P31.1A_taxon"	"P31.1A"	"taxon"	"Insecta"	"include"	"true"
"P31.1B_taxon"	"P31.1B"	"taxon"	"Insecta"	"include"	"true"
"P31.2A_taxon"	"P31.2A"	"taxon"	"Insecta"	"include"	"true"
"P31.2B_taxon"	"P31.2B"	"taxon"	"Insecta"	"include"	"true"
"P234.1A_taxon"	"P234.1A"	"taxon"	"Insecta"	"include"	"true"
"P234.1B_taxon"	"P234.1B"	"taxon"	"Insecta"	"include"	"true"
"P32.1A_taxon"	"P32.1A"	"taxon"	"Insecta"	"include"	"true"
"P32.1B_taxon"	"P32.1B"	"taxon"	"Insecta"	"include"	"true"
"P32.2A_taxon"	"P32.2A"	"taxon"	"Insecta"	"include"	"true"
"P32.2B_taxon"	"P32.2B"	"taxon"	"Insecta"	"include"	"true"
"P33.1A_taxon"	"P33.1A"	"taxon"	"Insecta"	"include"	"true"
"P33.1B_taxon"	"P33.1B"	"taxon"	"Insecta"	"include"	"true"
"P33.2A_taxon"	"P33.2A"	"taxon"	"Insecta"	"include"	"true"
"P33.2B_taxon"	"P33.2B"	"taxon"	"Insecta"	"include"	"true"
"P233.1A_taxon"	"P233.1A"	"taxon"	"Insecta"	"include"	"true"
"P233.1B_taxon"	"P233.1B"	"taxon"	"Insecta"	"include"	"true"
"P34.1A_taxon"	"P34.1A"	"taxon"	"Insecta"	"include"	"true"
"P34.1B_taxon"	"P34.1B"	"taxon"	"Insecta"	"include"	"true"
"P233.2A_taxon"	"P233.2A"	"taxon"	"Insecta"	"include"	"true"
"P233.2B_taxon"	"P233.2B"	"taxon"	"Insecta"	"include"	"true"
"P34.2A_taxon"	"P34.2A"	"taxon"	"Insecta"	"include"	"true"
"P34.2B_taxon"	"P34.2B"	"taxon"	"Insecta"	"include"	"true"
"P250.1A_taxon"	"P250.1A"	"taxon"	"Insecta"	"include"	"true"
"P250.1B_taxon"	"P250.1B"	"taxon"	"Insecta"	"include"	"true"
"P35.1A_taxon"	"P35.1A"	"taxon"	"Insecta"	"include"	"true"
"P35.1B_taxon"	"P35.1B"	"taxon"	"Insecta"	"include"	"true"
"P250.2A_taxon"	"P250.2A"	"taxon"	"Insecta"	"include"	"true"
"P250.2B_taxon"	"P250.2B"	"taxon"	"Insecta"	"include"	"true"
"P35.2A_taxon"	"P35.2A"	"taxon"	"Insecta"	"include"	"true"
"P35.2B_taxon"	"P35.2B"	"taxon"	"Insecta"	"include"	"true"
"P36.1A_taxon"	"P36.1A"	"taxon"	"Insecta"	"include"	"true"
"P36.1B_taxon"	"P36.1B"	"taxon"	"Insecta"	"include"	"true"
"P36.2A_taxon"	"P36.2A"	"taxon"	"Insecta"	"include"	"true"
"P36.2B_taxon"	"P36.2B"	"taxon"	"Insecta"	"include"	"true"
"P213.1A_taxon"	"P213.1A"	"taxon"	"Insecta"	"include"	"true"
"P213.1B_taxon"	"P213.1B"	"taxon"	"Insecta"	"include"	"true"
"P37.1A_taxon"	"P37.1A"	"taxon"	"Insecta"	"include"	"true"
"P37.1B_taxon"	"P37.1B"	"taxon"	"Insecta"	"include"	"true"
"P213.2A_taxon"	"P213.2A"	"taxon"	"Insecta"	"include"	"true"
"P213.2B_taxon"	"P213.2B"	"taxon"	"Insecta"	"include"	"true"
"P37.2A_taxon"	"P37.2A"	"taxon"	"Insecta"	"include"	"true"
"P37.2B_taxon"	"P37.2B"	"taxon"	"Insecta"	"include"	"true"
"P204.1A_taxon"	"P204.1A"	"taxon"	"Insecta"	"include"	"true"
"P204.1B_taxon"	"P204.1B"	"taxon"	"Insecta"	"include"	"true"
"P38.1A_taxon"	"P38.1A"	"taxon"	"Insecta"	"include"	"true"
"P38.1B_taxon"	"P38.1B"	"taxon"	"Insecta"	"include"	"true"
"P204.2A_taxon"	"P204.2A"	"taxon"	"Insecta"	"include"	"true"
"P204.2B_taxon"	"P204.2B"	"taxon"	"Insecta"	"include"	"true"
"P38.2A_taxon"	"P38.2A"	"taxon"	"Insecta"	"include"	"true"
"P38.2B_taxon"	"P38.2B"	"taxon"	"Insecta"	"include"	"true"
"P309.1A_taxon"	"P309.1A"	"taxon"	"Insecta"	"include"	"true"
"P309.1B_taxon"	"P309.1B"	"taxon"	"Insecta"	"include"	"true"
"P39.1A_taxon"	"P39.1A"	"taxon"	"Insecta"	"include"	"true"
"P39.1B_taxon"	"P39.1B"	"taxon"	"Insecta"	"include"	"true"
"P39.2A_taxon"	"P39.2A"	"taxon"	"Insecta"	"include"	"true"
"P39.2B_taxon"	"P39.2B"	"taxon"	"Insecta"	"include"	"true"
"P299.1A_taxon"	"P299.1A"	"taxon"	"Insecta"	"include"	"true"
"P299.1B_taxon"	"P299.1B"	"taxon"	"Insecta"	"include"	"true"
"P40.1A_taxon"	"P40.1A"	"taxon"	"Insecta"	"include"	"true"
"P40.1B_taxon"	"P40.1B"	"taxon"	"Insecta"	"include"	"true"
"P299.2A_taxon"	"P299.2A"	"taxon"	"Insecta"	"include"	"true"
"P299.2B_taxon"	"P299.2B"	"taxon"	"Insecta"	"include"	"true"
"P40.2A_taxon"	"P40.2A"	"taxon"	"Insecta"	"include"	"true"
"P40.2B_taxon"	"P40.2B"	"taxon"	"Insecta"	"include"	"true"
"P288.1A_taxon"	"P288.1A"	"taxon"	"Insecta"	"include"	"true"
"P288.1B_taxon"	"P288.1B"	"taxon"	"Insecta"	"include"	"true"
"P41.1A_taxon"	"P41.1A"	"taxon"	"Insecta"	"include"	"true"
"P41.1B_taxon"	"P41.1B"	"taxon"	"Insecta"	"include"	"true"
"P41.2A_taxon"	"P41.2A"	"taxon"	"Insecta"	"include"	"true"
"P41.2B_taxon"	"P41.2B"	"taxon"	"Insecta"	"include"	"true"
"P42.1A_taxon"	"P42.1A"	"taxon"	"Insecta"	"include"	"true"
"P42.1B_taxon"	"P42.1B"	"taxon"	"Insecta"	"include"	"true"
"P212.1A_taxon"	"P212.1A"	"taxon"	"Insecta"	"include"	"true"
"P212.1B_taxon"	"P212.1B"	"taxon"	"Insecta"	"include"	"true"
"P42.2A_taxon"	"P42.2A"	"taxon"	"Insecta"	"include"	"true"
"P42.2B_taxon"	"P42.2B"	"taxon"	"Insecta"	"include"	"true"
"P291.1A_taxon"	"P291.1A"	"taxon"	"Insecta"	"include"	"true"
"P291.1B_taxon"	"P291.1B"	"taxon"	"Insecta"	"include"	"true"
"P43.1A_taxon"	"P43.1A"	"taxon"	"Insecta"	"include"	"true"
"P43.1B_taxon"	"P43.1B"	"taxon"	"Insecta"	"include"	"true"
"P291.2A_taxon"	"P291.2A"	"taxon"	"Insecta"	"include"	"true"
"P291.2B_taxon"	"P291.2B"	"taxon"	"Insecta"	"include"	"true"
"P43.2A_taxon"	"P43.2A"	"taxon"	"Insecta"	"include"	"true"
"P43.2B_taxon"	"P43.2B"	"taxon"	"Insecta"	"include"	"true"
"P44.1A_taxon"	"P44.1A"	"taxon"	"Insecta"	"include"	"true"
"P44.1B_taxon"	"P44.1B"	"taxon"	"Insecta"	"include"	"true"
"P44.2A_taxon"	"P44.2A"	"taxon"	"Insecta"	"include"	"true"
"P44.2B_taxon"	"P44.2B"	"taxon"	"Insecta"	"include"	"true"
"P45.1A_taxon"	"P45.1A"	"taxon"	"Insecta"	"include"	"true"
"P45.1B_taxon"	"P45.1B"	"taxon"	"Insecta"	"include"	"true"
"P46.1A_taxon"	"P46.1A"	"taxon"	"Insecta"	"include"	"true"
"P46.1B_taxon"	"P46.1B"	"taxon"	"Insecta"	"include"	"true"
"P46.2A_taxon"	"P46.2A"	"taxon"	"Insecta"	"include"	"true"
"P46.2B_taxon"	"P46.2B"	"taxon"	"Insecta"	"include"	"true"
"P47.1A_taxon"	"P47.1A"	"taxon"	"Insecta"	"include"	"true"
"P47.1B_taxon"	"P47.1B"	"taxon"	"Insecta"	"include"	"true"
"P47.2A_taxon"	"P47.2A"	"taxon"	"Insecta"	"include"	"true"
"P47.2B_taxon"	"P47.2B"	"taxon"	"Insecta"	"include"	"true"
"P203.1A_taxon"	"P203.1A"	"taxon"	"Insecta"	"include"	"true"
"P203.1B_taxon"	"P203.1B"	"taxon"	"Insecta"	"include"	"true"
"P48.1A_taxon"	"P48.1A"	"taxon"	"Insecta"	"include"	"true"
"P48.1B_taxon"	"P48.1B"	"taxon"	"Insecta"	"include"	"true"
"P203.2A_taxon"	"P203.2A"	"taxon"	"Insecta"	"include"	"true"
"P203.2B_taxon"	"P203.2B"	"taxon"	"Insecta"	"include"	"true"
"P48.2A_taxon"	"P48.2A"	"taxon"	"Insecta"	"include"	"true"
"P48.2B_taxon"	"P48.2B"	"taxon"	"Insecta"	"include"	"true"
"P273.1A_taxon"	"P273.1A"	"taxon"	"Insecta"	"include"	"true"
"P273.1B_taxon"	"P273.1B"	"taxon"	"Insecta"	"include"	"true"
"P49.1A_taxon"	"P49.1A"	"taxon"	"Insecta"	"include"	"true"
"P49.1B_taxon"	"P49.1B"	"taxon"	"Insecta"	"include"	"true"
"P273.2A_taxon"	"P273.2A"	"taxon"	"Insecta"	"include"	"true"
"P273.2B_taxon"	"P273.2B"	"taxon"	"Insecta"	"include"	"true"
"P49.2A_taxon"	"P49.2A"	"taxon"	"Insecta"	"include"	"true"
"P49.2B_taxon"	"P49.2B"	"taxon"	"Insecta"	"include"	"true"
"P327.1A_taxon"	"P327.1A"	"taxon"	"Insecta"	"include"	"true"
"P327.1B_taxon"	"P327.1B"	"taxon"	"Insecta"	"include"	"true"
"P50.1A_taxon"	"P50.1A"	"taxon"	"Insecta"	"include"	"true"
"P50.1B_taxon"	"P50.1B"	"taxon"	"Insecta"	"include"	"true"
"P50.2A_taxon"	"P50.2A"	"taxon"	"Insecta"	"include"	"true"
"P50.2B_taxon"	"P50.2B"	"taxon"	"Insecta"	"include"	"true"
"P292.1A_taxon"	"P292.1A"	"taxon"	"Insecta"	"include"	"true"
"P292.1B_taxon"	"P292.1B"	"taxon"	"Insecta"	"include"	"true"
"P51.1A_taxon"	"P51.1A"	"taxon"	"Insecta"	"include"	"true"
"P51.1B_taxon"	"P51.1B"	"taxon"	"Insecta"	"include"	"true"
"P292.2A_taxon"	"P292.2A"	"taxon"	"Insecta"	"include"	"true"
"P292.2B_taxon"	"P292.2B"	"taxon"	"Insecta"	"include"	"true"
"P51.2A_taxon"	"P51.2A"	"taxon"	"Insecta"	"include"	"true"
"P51.2B_taxon"	"P51.2B"	"taxon"	"Insecta"	"include"	"true"
"P52.1A_taxon"	"P52.1A"	"taxon"	"Insecta"	"include"	"true"
"P52.1B_taxon"	"P52.1B"	"taxon"	"Insecta"	"include"	"true"
"P308.2A_taxon"	"P308.2A"	"taxon"	"Insecta"	"include"	"true"
"P308.2B_taxon"	"P308.2B"	"taxon"	"Insecta"	"include"	"true"
"P52.2A_taxon"	"P52.2A"	"taxon"	"Insecta"	"include"	"true"
"P52.2B_taxon"	"P52.2B"	"taxon"	"Insecta"	"include"	"true"
"P263.1A_taxon"	"P263.1A"	"taxon"	"Insecta"	"include"	"true"
"P263.1B_taxon"	"P263.1B"	"taxon"	"Insecta"	"include"	"true"
"P54.1A_taxon"	"P54.1A"	"taxon"	"Insecta"	"include"	"true"
"P54.1B_taxon"	"P54.1B"	"taxon"	"Insecta"	"include"	"true"
"P54.2A_taxon"	"P54.2A"	"taxon"	"Insecta"	"include"	"true"
"P54.2B_taxon"	"P54.2B"	"taxon"	"Insecta"	"include"	"true"
"P55.1A_taxon"	"P55.1A"	"taxon"	"Insecta"	"include"	"true"
"P55.1B_taxon"	"P55.1B"	"taxon"	"Insecta"	"include"	"true"
"P55.2A_taxon"	"P55.2A"	"taxon"	"Insecta"	"include"	"true"
"P55.2B_taxon"	"P55.2B"	"taxon"	"Insecta"	"include"	"true"
"P57.1A_taxon"	"P57.1A"	"taxon"	"Insecta"	"include"	"true"
"P57.1B_taxon"	"P57.1B"	"taxon"	"Insecta"	"include"	"true"
"P57.2A_taxon"	"P57.2A"	"taxon"	"Insecta"	"include"	"true"
"P57.2B_taxon"	"P57.2B"	"taxon"	"Insecta"	"include"	"true"
