"materialEntityID"	"eventID"	"materialCategory"	"materialEntityType"	"institutionCode"	"institutionID"	"ownerInstitutionCode"	"ownerInstitutionID"	"collectionCode"	"catalogNumber"	"preparations"	"disposition"	"derivedFromMaterialEntityID"
"P10.1AS"	"P10.1A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.1BL"	"P10.1B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.1BS"	"P10.1B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.2BL"	"P10.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.2BS"	"P10.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.2AL"	"P10.2A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.2AS"	"P10.2A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P11.1BL"	"P11.1B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P11.1BS"	"P11.1B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P11.1AL"	"P11.1A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
