"mediaID"	"mediaType"	"accessURI"	"format"	"rights"	"Owner"	"mediaDescription"
"P10.2BS_01L15S_14S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_14SP10.2BS_wet_2018_01L15S_14S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_15S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_15SP10.2BS_wet_2018_01L15S_15S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AL_01L07S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ALP100.1AL_01L07S_01LP100.1AL_wet_2018_01L07S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_01SP100.1AS_wet_2018_01L07S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_02SP100.1AS_wet_2018_01L07S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_03SP100.1AS_wet_2018_01L07S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_04SP100.1AS_wet_2018_01L07S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_05SP100.1AS_wet_2018_01L07S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_06SP100.1AS_wet_2018_01L07S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1AS_01L07S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1ASP100.1AS_01L07S_07SP100.1AS_wet_2018_01L07S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_01SP100.1BS_wet_2018_00L32S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_02SP100.1BS_wet_2018_00L32S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_03SP100.1BS_wet_2018_00L32S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_04SP100.1BS_wet_2018_00L32S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_05SP100.1BS_wet_2018_00L32S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_06SP100.1BS_wet_2018_00L32S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_07SP100.1BS_wet_2018_00L32S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_08SP100.1BS_wet_2018_00L32S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_09SP100.1BS_wet_2018_00L32S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_10SP100.1BS_wet_2018_00L32S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_11SP100.1BS_wet_2018_00L32S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_12S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_12SP100.1BS_wet_2018_00L32S_12S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_13S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_13SP100.1BS_wet_2018_00L32S_13S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_14S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_14SP100.1BS_wet_2018_00L32S_14S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_15S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_15SP100.1BS_wet_2018_00L32S_15S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
