"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,10,"SALSP2","Salmonidae sp.","family",NA,NA,NA,114,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"5f3e4242-cbb2-4afe-b3f6-ffda66aea67b","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,24,"SALSP2","Salmonidae sp.","family",NA,NA,NA,153,33,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"0e9c3715-106e-403e-9a37-d079ee38f8cb","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,23,"SALSP2","Salmonidae sp.","family",NA,NA,NA,124,20,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"abcf3ae8-b003-4756-ba02-b79eee69fc35","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,22,"SALTRU","Salmo trutta","species",NA,NA,NA,197,70,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"47a3a918-4a47-4fc3-81d9-941294f08a1b","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,2,"SALSP2","Salmonidae sp.","family",NA,NA,NA,93,10,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"b4b9e38b-be56-4954-b43e-fc8850648984","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,5,"SALTRU","Salmo trutta","species",NA,NA,NA,205,79,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"4f64d9ac-0fd8-4379-a2b3-4c1be7940f80","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,4,"SALSP2","Salmonidae sp.","family",NA,NA,NA,100,10,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"764e4406-d4fc-4179-88c6-1651d240c0ef","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,1,"SALTRU","Salmo trutta","species",NA,NA,NA,115,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"304e0330-aea8-4d3a-bfb1-c9d01f2a8f4a","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,7,"SALTRU","Salmo trutta","species",NA,NA,NA,185,62,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"b92deca2-fd2b-4c5e-96c7-7f7823b564c5","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,6,"OTHE","Chordata sp.","phylum","D17.BIGC.2019.MorphA","YOY Trout",NA,28,0.3,NA,NA,NA,"young of year","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
