surveyID	agentID	agentRole
BROKE_WEST_RMT_019_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_020_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_020_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_021_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_021_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_023_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_023_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_024_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_024_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_025_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_025_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_026_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_026_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_027_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_027_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_028_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_028_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_029_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_029_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_030_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_030_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_031_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_031_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_032_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_032_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_033_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_033_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_034_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_034_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_035_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_035_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_036_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_036_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_037_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_037_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_038_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_038_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_039_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_039_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_040_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_040_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_041_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_041_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_042_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_042_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_043_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_043_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_044_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_044_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_045_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_045_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_046_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_046_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_047_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_047_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_048_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_048_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_049_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_049_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_050_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_050_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_051_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_051_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_052_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_052_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_053_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_053_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_054_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_054_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_055_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_055_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_056_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_056_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_057_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_057_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_058_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_058_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_059_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_059_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_060_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_060_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_061_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_061_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_062_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_062_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_063_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_063_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_064_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_064_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_065_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_065_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_066_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_066_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_067_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_067_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_068_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_068_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_069_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_069_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_070_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_070_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_071_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_071_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_072_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_072_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_073_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_073_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_074_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_074_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_075_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_075_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_076_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_076_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_077_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_077_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_078_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_078_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_079_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_079_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_080_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_080_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_081_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_081_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_082_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_082_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_083_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_083_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_084_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_084_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_085_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_085_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_086_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_086_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_087_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_087_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_088_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_088_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_089_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_089_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_090_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_090_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_091_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_091_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_092_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_092_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_093_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_093_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_094_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_094_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_095_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_095_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_096_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_096_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_097_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_097_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_098_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_098_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_099_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_099_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_100_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_100_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_101_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_101_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_102_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_102_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_103_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_103_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_104_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_104_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_105_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_105_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_106_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_106_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_107_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_107_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_108_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_108_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_109_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_109_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_110_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_110_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_111_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_111_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_112_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_112_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_113_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_113_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_114_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_114_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_115_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_115_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_116_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_116_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_117_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_117_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_118_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_118_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_119_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_119_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_120_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_120_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_121_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_121_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_122_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_122_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_123_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_123_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_124_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_124_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_125_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_125_RMT8	AVdP_collector	collector
