identificationID	agentID	agentRole
AAV3FF_00084_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00085_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00086_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00087_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00088_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00089_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00090_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00091_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00092_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00093_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00094_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00095_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00096_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00097_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00098_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00099_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00100_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00101_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00102_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00103_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00104_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00105_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00106_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00107_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00108_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00109_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00110_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00111_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00112_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00113_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00114_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00115_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00116_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00117_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00118_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00119_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00120_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00121_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00123_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00124_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00001_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00002_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00003_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00004_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00005_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00125_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00126_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00130_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00132_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00133_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00134_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00135_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00136_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00137_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00139_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00140_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00141_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00142_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00143_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00144_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00145_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00146_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00147_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00148_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00149_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00150_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00151_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00154_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00155_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00156_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00157_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00158_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00159_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00160_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00161_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00162_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00163_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00164_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00165_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00166_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00167_ID	AVdP_specimen_identifier	specimen identifier
