materialEntityID	eventID	materialEntityType	preparations	disposition	collectedBy	collectedByID	identifiedBy	identifiedByID	verbatimIdentification	scientificName	taxonID	kingdom	taxonRank	identificationRemarks	materialEntityRemarks	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID
AAV3FF_00421	BROKE_WEST_RMT_125_RMT8	whole organism			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pagetopsis maculatus	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	Animalia	Species					
AAV3FF_00005	BROKE_WEST_RMT_011_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
AAV3FF_00006	BROKE_WEST_RMT_011_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00007	BROKE_WEST_RMT_011_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
AAV3FF_00008	BROKE_WEST_RMT_017_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
AAV3FF_00009	BROKE_WEST_RMT_017_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
AAV3FF_00012	BROKE_WEST_RMT_020_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00013	BROKE_WEST_RMT_021_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pagetopsis maculatus	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	Animalia	Species					
AAV3FF_00014	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00015	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00016	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00017	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00018	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00019	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00020	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00021	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00022	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00023	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00024	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00025	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00026	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00027	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00028	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00029	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00030	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00031	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00032	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00033	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00034	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00035	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00036	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00037	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00038	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00039	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00040	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00041	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00042	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00043	BROKE_WEST_RMT_022_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
