occurrenceID	eventID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_051_RMT8_217697_Larvae	BROKE_WEST_RMT_051_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	28	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_051_RMT8_234695	BROKE_WEST_RMT_051_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	12	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_052_RMT8_234621	BROKE_WEST_RMT_052_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Artedidraco skottsbergi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234621	Animalia	Artedidraco skottsbergi	Species
BROKE_WEST_RMT_053_RMT8_217697	BROKE_WEST_RMT_053_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_053_RMT8_217697_Postmeta	BROKE_WEST_RMT_053_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_055_RMT8_234695	BROKE_WEST_RMT_055_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_059_RMT8_234808	BROKE_WEST_RMT_059_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Gerlachea australis	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234808	Animalia	Gerlachea australis	Species
BROKE_WEST_RMT_059_RMT8_234800	BROKE_WEST_RMT_059_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Gymnodraco acuticeps	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234800	Animalia	Gymnodraco acuticeps	Species
BROKE_WEST_RMT_059_RMT8_234721	BROKE_WEST_RMT_059_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_061_RMT8_217697	BROKE_WEST_RMT_061_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
