assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
5b0a7e20-fab0-4948-baf1-7cee14609134	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
6a0c9b49-cce0-4a94-a769-1528f461a46d	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
0ddd4963-f529-4372-a626-a29684b0a89c	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
77571811-3cc3-4332-83df-2da03f358968	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
0dace7d9-7b32-4d41-8bc5-790cdc5ac61c	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
74c0b7e5-6424-49ad-bc9e-62b21c389846	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
72f769ee-c4f0-4426-b9e0-6b318c264e46	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
9d0f9c2c-66af-42db-9191-ab8b34beb2a3	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
a2f3799a-d61b-4e4e-a0eb-1f7b4655cd84	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
01f27cd5-abb5-4bdc-b085-f802bc7124ce	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
0d4c2ed1-db5c-4f3e-b6fd-18f6c68f0d5a	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
f7e2904a-5eaa-43c4-8dea-8987458d8392	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
caf2bd30-4920-4a13-9b87-4e49ca936bc1	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
61b941f1-07c1-4982-addc-d61906d1536a	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
e7111acd-b943-4c6e-b78a-90890feb74aa	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
