assertionID	eventID	verbatimAssertionType	assertionType	assertionTypeIRI	assertionTypeVocabulary	assertionMadeDate	assertionEffectiveDate	assertionValue	assertionValueIRI	assertionValueVocabulary	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionUnitVocabulary	assertionBy	assertionByID	assertionProtocols	assertionProtocolID	assertionReferences	assertionRemarks
b0df29d0-a4c9-4515-b744-6c3eb49aa319	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
33542442-b1b1-4c09-a19a-37fed26b8e06	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
5ee04f02-fd08-4bf6-ae33-aa24bcd7eb27	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
83fb15ba-bd6f-481d-ab4d-1009131e86d2	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
16081d45-9114-4603-ba41-729e329744e8	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
90bfc169-04fd-4200-9c5a-0f3a4b03ae12	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
e4fc85f9-d45f-4da0-9387-dd7124f99878	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
f672c6ec-84b0-46f0-8c35-8c4d0ec144a6	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
894def30-61e3-4d56-bf92-b4081d19751c	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
1876e6d6-3577-4d8e-ad9f-93b298a95ac0	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
92d1a524-6e04-4059-b1fa-cb302e48ab99	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
3dd172e3-d679-410b-a774-5a816b6cbb2a	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
7a4b8438-3f9c-4502-b722-3f8d6638e32b	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
7b8a45d5-751c-483f-9469-0e41d484a2dd	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
6b5fa2cd-4b38-4e78-bb65-dc42c52924c5	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
34927cd6-5c6a-4355-a5fd-4a08e01b2f93	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
20f01630-ef67-4e73-9050-79eace0e4055	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
33a584c1-846f-4202-aee4-3b4e3fc018d6	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
1326acc4-24b3-4277-a20d-7598df98e70c	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
65e747c9-daab-4636-aa03-f736e8268293	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
8da7de63-c346-4dfe-9e30-6cc59cae5684	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
670b9c01-3ccd-4437-b711-42fccfcfac63	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
32e5cc77-79c0-4bb8-b888-8d68e88eb123	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
d8e68e13-46be-4e3f-adcb-26a02c1aa952	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
79c33b62-d0ae-4c7d-b93b-f3cc067829d7	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
be1f0b8e-0975-48f9-91d4-31609921a5d3	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
9d742d3f-47c2-45c5-9dbe-2ad123e13d6b	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
3c4f7d3e-71f3-434a-9c3e-028574c3f2bc	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
75f0d9ca-c5ed-46c2-b87f-db3faf71ecfb	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
0474a325-fcb9-44cc-b201-e17663cfcd0c	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
a589183b-8dd5-431c-a04d-1cf97b4524bc	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
aa79584e-d6bc-4090-9df9-90ef3b77b7b7	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
6f9e8c18-f963-4648-8c57-a5709888caee	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
7d8e0dd3-ab7b-4e9d-aae2-5a90861843d9	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
657e9901-9cda-40fa-810c-eff4b2376373	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
39577466-15db-4784-954a-0cd434647b41	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
6cd1b2a2-78ec-43de-9a78-fd164a3a0870	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
8eb461ed-266d-48dd-b348-d9036812b1a1	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
b4ced3cd-375a-4367-abf3-c33ff8757221	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
7e544d1a-17ed-4961-bc43-b970b2492799	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
8f095997-581d-4f3f-990a-309ac2a49556	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
58e2d39b-37f9-4be2-92af-c2c05550c6f6	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
5477db0e-ad95-41f3-b22f-1a32c6444c38	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
36dfcc53-8c0b-4f3a-83c6-76ad34598b68	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
1d1b16f7-35d0-40bc-94e5-c7bb061a5ab7	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
8e0eb4d5-98f5-466d-b2bc-6083beb7c3ef	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
f51dc8d4-6ac8-4229-91a3-310cf89a3037	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
88d7e9c6-aa18-4d5d-a18f-7fda1d88e686	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
f0f34761-1dc1-4232-873e-04e67a4b3990	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
2cb0d90f-efa6-4933-a750-efeb757a27c7	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
7414f1c7-a00e-4549-9166-d9b4c7ca1529	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
04eb60c7-01e0-421e-aa16-3ed99d648f69	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
f74e89ef-9f44-4d4c-b037-fe70133c71b8	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
0f64e50e-6c52-4764-a44b-31ff2ecd478c	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
7a1f648f-1a55-4f78-80a1-64fc287e707d	BIGC.20191021.01.2.e-fisher		Number of the sampling pass within a reach								2									
ecda2596-e836-4aae-bca9-f9e5532a32e6	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
898925c3-ac53-48cd-a5f2-51612032427a	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
954a9bb6-d34b-4771-adb6-1492fa3fda73	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
962ac2b6-d8d6-4427-b286-3250cfbfd5aa	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
a78f4a94-7f30-403d-9686-3134ce3d1250	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
4d0a9e1d-bcb5-43dd-bf7c-7015d8238ad0	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
f20834c2-e8d8-4336-85ad-7c83ef2f13ca	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
77138ee5-c5fc-4596-99ac-d564fb4afc5c	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
143716dd-4f04-4e5c-9002-8c8822c450b8	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
36b14195-aec6-4132-aac4-2a7b577eb06f	BIGC.20191021.01.3.e-fisher		Number of the sampling pass within a reach								3									
b6e185a0-6aa1-423d-bf2a-13ffcd6ca88b	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
3df9da71-13c3-435d-9090-ea1567e875ad	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
aa11ba71-cf0f-4fb7-9dbf-97d8a945a2e8	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
b6e14f1d-f011-4888-955b-62a49176f8d5	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
7b644dfb-a362-4fcb-847c-0f37a27a5f07	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
b31bfe72-0606-41f5-aa1c-c0b50c4add53	BIGC.20191022.04.1.e-fisher		Number of the sampling pass within a reach								1									
