event_id	parent_event_id	preferred_event_name	event_category	event_type	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	event_effort	field_notes	event_references	event_remarks	location_id	higher_geography_id	higher_geography	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	site_number	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	preferred_spatial_representation	geological_context_id	feedback_url	information_withheld	data_generalizations
4e01a2c4-4c34-4bce-a93a-3d6841c095bc	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-07T20:49:40Z	20:49:40			2019	3	7	2019-03-07 12:49:40 PM PST	Los Angeles County, CA, USA																					United States		California	Los Angeles		Los Angeles County, CA, USA										32.9183409415	-118.4907852486	epsg:4326	176								2019-03-07	gps		gps		point-radius				
cf675e87-78c2-4801-8176-40db12b8edb4	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-07T21:04:19Z	21:04:19			2019	3	7	2019-03-07 1:04:19 PM PST	Site 4																					United States		California	Los Angeles		Site 4										32.9190133139	-118.4909505397	epsg:4326	176								2019-03-07	gps		gps		point-radius				
c9747d83-d968-403c-b194-583b9c0c8002	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-07T21:07:09Z	21:07:09			2019	3	7	2019-03-07 1:07:09 PM PST	Los Angeles County, CA, USA																					United States		California	Los Angeles		Los Angeles County, CA, USA										32.918723426	-118.4906005114	epsg:4326	352								2019-03-07	gps		gps		point-radius				
2fe08d0a-11e7-47cf-93eb-a39023727fbb	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Sula Vanderplank	246499	2019-03-19T18:54:35Z	18:54:35			2019	3	19	Tue Mar 19 2019 11:54:35 GMT-0700 (PDT)	San Clemente Island Underwater Range, , CA, US																					United States		California	Los Angeles		San Clemente Island Underwater Range, , CA, US										32.8792283333	-118.4393533333	epsg:4326	5								2019-03-19					point-radius				
cc571c94-08c6-4067-aa1d-0c2de4b3e7c3	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-21T23:18:05Z	23:18:05			2019	3	21	2019-03-21 4:18:05 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8962641494	-118.5816138921	epsg:4326									2019-03-21	gps		gps		point-radius				
9114de29-7531-460a-9b67-3a719465208c	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-22T21:15:45Z	21:15:45			2019	3	22	2019-03-22 2:15:45 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.918170929	-118.4896697998	epsg:4326									2019-03-22	gps		gps		point-radius				
16830b69-0c94-49d6-8b5d-8e1fb4ccbb7b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-22T19:56:38Z	19:56:38			2019	3	22	2019-03-22 12:56:38 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.9181785583	-118.4897079468	epsg:4326									2019-03-22	gps		gps		point-radius				
ee436c44-ee77-4eb8-9872-41c8fa917a2b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-22T19:56:23Z	19:56:23			2019	3	22	2019-03-22 12:56:23 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.9181785583	-118.4897079468	epsg:4326									2019-03-22	gps		gps		point-radius				
3b1e91ab-4f03-4059-874d-56a3ef1ff60d	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:46:14Z	19:46:14			2019	3	23	2019-03-23 12:46:14 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8255805969	-118.3651123047	epsg:4326									2019-03-23	gps		gps		point-radius				
75cbcb52-fd08-4ec6-b5c5-8e3f37ebecd8	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T22:53:21Z	22:53:21			2019	3	23	2019-03-23 3:53:21 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8254508972	-118.3653945923	epsg:4326									2019-03-23	gps		gps		point-radius				
