agentID,occurrenceID,agentRole
F.F.|J.O.,UCHILE:LEMi:NAV12-018,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-019,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-021,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-022,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-024,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-026,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-028,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-029,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-031,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-032,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-033,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-034,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-035,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-036,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-037,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-038,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-039,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-040,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-041,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-042,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-043,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-044,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-045,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-046,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-047,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-048,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-049,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-050,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-051,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-052,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-053,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-054,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-055,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-056,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-057,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-058,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-059,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-060,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-061,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-062,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-063,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-064,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-065,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-066,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-067,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-068,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-069,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-070,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-071,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-072,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-074,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-075,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-076,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-077,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-078,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-079,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-081,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-082,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-083,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-084,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-085,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-086,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-087,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-088,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-089,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-090,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-092,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-093,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-094,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-095,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-096,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-097,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-098,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-099,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-100,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-101,collector
F.F.|J.O.,UCHILE:LEMi:NAV12-104,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-004,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-006,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-009,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-010,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-015,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-018,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-019,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-020,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-023,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-024,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-026,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-027,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-028,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-029,collector
F.F.|J.O.,UCHILE:LEMi:DEC13-030,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-001,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-002,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-003,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-004,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-005,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-006,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-007,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-008,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-009,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-010,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-011,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-012,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-013,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-014,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-015,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-016,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-017,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-018,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-019,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-020,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-021,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-022,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-023,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-024,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-025,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-026,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-027,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-028,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-029,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-030,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-031,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-032,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-033,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-034,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-035,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-036,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-037,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-038,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-039,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-040,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-041,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-042,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-043,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-044,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-045,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-046,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-047,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-048,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-049,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-050,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-051,collector
M.C.|J.O.|J.L.P.,UCHILE:LEMi:COY13-052,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-001,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-002,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-003,collector
