"occurrenceID","eventID","basisOfRecord","taxonID","scientificName","identificationQualifier","identifiedByID","occurrenceRemarks","individualCount","occurrenceStatus","taxonRank","lifeStage","otherCatalogNumbers","preparations"
"150ea9eb-cd97-4ce2-afd1-83dfaede8205","BIGC.20191024.08.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"1512982e-edd2-4054-a5ed-b563a8e18955","BIGC.20190423.04.1.e-fisher","HumanObservation","SALSP2","Salmonidae sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","family","juvenile",NA,NA
"155b52af-189b-4320-a6e8-69de2112a810","BIGC.20190422.01.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1822c0fe-c15f-4b48-aadf-e606eadb22f2","BIGC.20190424.07.1.e-fisher","HumanObservation","SALSP2","Salmonidae sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","family","juvenile",NA,NA
"1894b001-2755-4814-9c53-8544c0a16fba","BIGC.20190423.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"18bd6024-5853-45c2-9c5d-a40679a7996e","BIGC.20191022.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1a1db9fe-4b27-4995-aa50-15f210580d5c","BIGC.20190423.04.3.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"1a32f1ae-528e-4b63-800e-5d8892f0400a","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1afac3c8-26dc-4b0b-b992-6c9150ffa6dc","BIGC.20190422.01.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1ba306d3-ad0d-4c94-b3fc-f1aae910ab95","BIGC.20191022.04.3.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1be0df21-6bf0-4552-928f-1f3a282fb154","BIGC.20191023.07.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1cc67a7d-994b-4114-9d3d-120fafb569fb","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"1cdcb62d-ba69-45c2-a541-f2270e54b60b","BIGC.20190425.08.1.e-fisher","PreservedSpecimen","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult","FSH.BIGC.08.20190425.1.0040 | FSH.BIGC.08.20190425.1.0040.DNA","both voucher and dna samples collected"
"1d891c3d-86bc-41ad-b8df-39c76162f6dc","BIGC.20191021.01.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"1d91fca7-2ea0-4cd2-8059-8a4546604bf0","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"1df71af5-7893-426a-b0e6-a5a3404b7b36","BIGC.20190423.04.2.e-fisher","HumanObservation","OTHE","Chordata sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","phylum","young of year",NA,NA
"1e532329-2072-4e93-b5c4-efbe28273ebf","BIGC.20191024.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"1e6599c7-9b71-47b2-9cd0-932842cb004a","BIGC.20190424.07.2.e-fisher","HumanObservation","OTHE","Chordata sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","phylum","young of year",NA,NA
"1e7e8da4-62c8-4b27-9039-846d5647d863","BIGC.20190423.04.3.e-fisher","HumanObservation","OTHE","Chordata sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","phylum","young of year",NA,NA
"1eaf164c-e77d-49fa-800d-781a2e2c082b","BIGC.20191024.09.1.e-fisher","PreservedSpecimen","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year","FSH.BIGC.09.20191024.1.0051","voucher sample only"
"1f55d040-caf9-420d-8efd-8473eff2a736","BIGC.20190423.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"1fb61b4e-562b-4401-8fe3-ddd207b6ef44","BIGC.20191022.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"202c87d9-9357-4890-a305-270b66ca4219","BIGC.20191021.01.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"21081124-68c6-4310-9769-44229aaf8d9a","BIGC.20191024.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,29,"present",NA,NA,NA,NA
"211534c2-6c7f-41ce-a470-6da2fc4e1896","BIGC.20191022.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,16,"present",NA,NA,NA,NA
"212d4c5c-94c7-4ee2-a79a-3996c1a98933","BIGC.20190423.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
