occurrenceID,eventID,sex,lifeStage,reproductiveCondition,occurrenceStatus,organismID,organismName,taxonID,scientificName,taxonRank
20432407557,20432407557,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407560,20432407560,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407561,20432407561,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407564,20432407564,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407565,20432407565,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407568,20432407568,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407569,20432407569,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407572,20432407572,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407573,20432407573,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407576,20432407576,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407577,20432407577,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407580,20432407580,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407581,20432407581,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
