tblUploadID,Country,Reporting_organisation,CruiseID
8470,"LV","3140","LV3140LA991968"
8484,"LV","3140","LV3140LABS1980"
8515,"LV","3140","LV3140LAIZ1989"
8519,"DK","2195","DK219526D42014"
8520,"DK","2195","DK219526D42023"
8521,"DK","2195","DK219526D42017"
8526,"DK","2195","DK219526D42022"
8528,"DE","1574","SOLEA 785"
8529,"DE","1574","SOLEA 789"
8531,"DE","1574","SOLEA 783"
8532,"DE","1574","SOLEA 784"
8533,"DE","1574","WH III 441"
8535,"NL","1340","GB-SCT1340AA311980"
8536,"NL","1340","GB-SCT1340747S1991"
8537,"DK","2195","DK219526HF2022"
8538,"DK","2195","DK219526D42021"
8539,"DK","2195","DK219526D42018"
8540,"DK","2195","DK219526D42016"
8541,"LV","3140","LV314090MZ1963"
8542,"LV","3140","LV314090MZ1964"
8543,"LV","3140","LV314090MZ1965"
8544,"LV","3140","LV314090MZ1969"
8545,"LV","3140","LV3140LABS1969"
8546,"LV","3140","LV314090MZ1975"
8547,"LV","3140","LV314090MZ1976"
8548,"LV","3140","LV3140LABS1976"
8549,"LV","3140","LV314090MZ1978"
8550,"LV","3140","LV3140ZZ991977"
8551,"LV","3140","LV3140LA991966"
8552,"LV","3140","LV314090MZ1968"
8555,"LV","3140","LV3140LABS1981"
8556,"LV","3140","LV3140LABZ1981"
8557,"LV","3140","LV3140LABZ1982"
8558,"LV","3140","LV3140LABZ1983"
8559,"LV","3140","LV3140LABZ1984"
8560,"LV","3140","LV3140LABZ1985"
8561,"LV","3140","LV3140LABZ1986"
8562,"LV","3140","LV3140LAIZ1986"
8564,"LV","3140","LV3140LABZ1987"
8565,"LV","3140","LV3140LAIZ1987"
8566,"LV","3140","LV314067BC2008"
8567,"LV","3140","LV314067BC2007"
8568,"LV","3140","LV314067BC2006"
8569,"LV","3140","LV3140LAIZ1985"
8570,"LV","3140","LV3140LABZ1988"
8571,"LV","3140","LV3140LAIZ1988"
8572,"LV","3140","LV3140LABZ1989"
8573,"LV","3140","LV3140LABZ1990"
8574,"LV","3140","LV3140LAIZ1990"
8575,"LV","3140","LV314090MF1994"
8576,"LV","3140","LV314090MF1995"
8577,"LV","3140","LV3140LA991998"
8578,"LV","3140","LV3140LA991999"
8579,"LV","3140","LV3140LABS1967"
8580,"LV","3140","LV3140ZZ991969"
8581,"LV","3140","LV314090MZ1966"
8582,"LV","3140","LV314090MZ1967"
8583,"LV","3140","LV314090MZ1970"
8584,"LV","3140","LV3140LABS1970"
8585,"LV","3140","LV3140ZZ991970"
8586,"LV","3140","LV314090MZ1971"
8587,"LV","3140","LV3140LABS1971"
8588,"LV","3140","LV314090MZ1972"
8589,"LV","3140","LV3140ZZ991972"
8590,"LV","3140","LV314090MZ1973"
8592,"LV","3140","LV3140ZZ991973"
8594,"LV","3140","LV314090MZ1974"
8595,"LV","3140","LV3140ZZ991974"
8596,"LV","3140","LV3140LA991975"
8598,"LV","3140","LV3140LABZ1977"
8599,"LV","3140","LV3140ZZ991978"
8600,"LV","3140","LV3140ZZ991976"
8601,"LV","3140","LV3140LABZ1980"
8607,"LV","3140","LV3140LABZ1978"
8608,"LV","3140","LV3140LABZ1979"
8609,"LV","3140","LV3140ZZ991979"
8610,"LV","3140","LV3140ZZ991980"
8611,"LV","3140","LV3140ZZ991981"
8612,"LV","3140","LV3140ZZ991982"
8613,"LV","3140","LV3140ZZ991983"
8614,"LV","3140","LV3140ZZ991984"
8615,"LV","3140","LV3140LABZ1991"
8616,"LV","3140","LV3140ZZ991997"
9620,"NL","1340","NL134064T22022"
9621,"NL","1340","NL134064T22024"
9622,"NL","1340","NL134064T22023"
10620,"DK","2195","DK219526HI2024"
10621,"DK","2195","DK219526HI2025"
10622,"DK","2195","DK219526D42025"
10623,"DK","2195","DK219526D42024"
10624,"DK","2195","DK219564T22001"
