tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8439,16374,"AA31","EGY",942,"942",1986,7,1,"1200",58.25,1.5,,,"45F1",,"STOMACH","N","country=NL; quar=3; source file NL: IMARESdataset"
8439,16375,"AA31","EGY",255,"22",1986,8,11,"1200",58.75,0.5,,,"46F0",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16376,"AA31","EGY",256,"9999",1986,8,12,"1200",58.25,0.5,,,"45F0",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16377,"AA31","EGY",257,"32",1986,8,13,"1200",58.75,2.5,,,"46F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16378,"AA31","EGY",263,"32",1986,8,13,"1200",58.75,2.5,,,"46F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16379,"AA31","EGY",258,"33",1986,8,13,"1200",58.25,2.5,,,"45F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16380,"AA31","EGY",264,"33",1986,8,13,"1200",58.25,2.5,,,"45F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16381,"AA31","EGY",265,"33",1986,8,13,"1200",58.25,2.5,,,"45F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16382,"AA31","EGY",259,"34",1986,8,13,"1200",57.75,2.5,,,"44F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16383,"AA31","EGY",260,"36",1986,8,13,"1200",58.75,2.5,,,"46F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16384,"AA31","EGY",261,"36",1986,8,13,"1200",58.75,2.5,,,"46F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16385,"AA31","EGY",262,"9999",1986,8,13,"1200",58.75,2.5,,,"46F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16386,"AA31","EGY",266,"37",1986,8,14,"1200",56.75,1.5,,,"42F1",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8439,16387,"AA31","EGY",267,"37",1986,8,14,"1200",56.75,1.5,,,"42F1",,"STOMACH","N","country=NL; quar=3; source file NL: Excsaidatsto_863"
8440,16388,"AA36","EGY",1293,"2",1981,8,25,"0900",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16389,"AA36","EGY",1339,"2",1981,8,25,"0900",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16390,"AA36","EGY",1422,"2",1981,8,25,"0900",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16391,"AA36","EGY",1542,"2",1981,8,25,"0900",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16392,"AA36","EGY",1655,"2",1981,8,25,"0900",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16393,"AA36","EGY",1293,"2",1981,8,25,"1200",53.25,4.5,,,"35F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16394,"AA36","EGY",1295,"3",1981,8,25,"1200",53.75,4.5,,,"36F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16395,"AA36","EGY",1341,"3",1981,8,25,"1200",53.75,4.5,,,"36F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16396,"AA36","EGY",1424,"3",1981,8,25,"1200",53.75,4.5,,,"36F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16397,"AA36","EGY",1544,"3",1981,8,25,"1200",53.75,4.5,,,"36F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16398,"AA36","EGY",1426,"4",1981,8,25,"1200",54.25,4.5,,,"37F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16399,"AA36","EGY",1414,"5",1981,8,25,"1200",54.25,3.5,,,"37F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16400,"AA36","EGY",1291,"6",1981,8,25,"1200",53.75,3.5,,,"36F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16401,"AA36","EGY",1333,"6",1981,8,25,"1200",53.75,3.5,,,"36F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16402,"AA36","EGY",1413,"6",1981,8,25,"1200",53.75,3.5,,,"36F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16403,"AA36","EGY",1529,"6",1981,8,25,"1200",53.75,3.5,,,"36F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16404,"AA36","EGY",1642,"6",1981,8,25,"1200",53.75,3.5,,,"36F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16405,"AA36","EGY",1327,"7",1981,8,25,"1200",53.75,2.5,,,"36F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16406,"AA36","EGY",1404,"7",1981,8,25,"1200",53.75,2.5,,,"36F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16407,"AA36","EGY",1517,"7",1981,8,25,"1200",53.75,2.5,,,"36F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16408,"AA36","EGY",1426,"4",1981,8,25,"1220",54.25,4.5,,,"37F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16409,"AA36","EGY",1546,"4",1981,8,25,"1220",54.25,4.5,,,"37F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16410,"AA36","EGY",1658,"4",1981,8,25,"1220",54.25,4.5,,,"37F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16411,"AA36","EGY",1414,"5",1981,8,25,"1600",54.25,3.5,,,"37F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
